2025-01-27T16:56:25.620173Z [info     ] 2025-01-27 13:56:25,620 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.620660Z [info     ] 2025-01-27 13:56:25,620 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.625020Z [info     ] 2025-01-27 13:56:25,624 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00448918342590332, "tags": {"stream": "customers", "pid": 79412, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.625173Z [info     ] 2025-01-27 13:56:25,625 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 79412, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.625277Z [info     ] 2025-01-27 13:56:25,625 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.625387Z [info     ] 2025-01-27 13:56:25,625 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.626453Z [info     ] 2025-01-27 13:56:25,626 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0011546611785888672, "tags": {"stream": "employee_territories", "pid": 79412, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.626692Z [info     ] 2025-01-27 13:56:25,626 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 79412, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.626829Z [info     ] 2025-01-27 13:56:25,626 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.626957Z [info     ] 2025-01-27 13:56:25,626 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.627387Z [info     ] 2025-01-27 13:56:25,627 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0005147457122802734, "tags": {"stream": "employees", "pid": 79412, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.627505Z [info     ] 2025-01-27 13:56:25,627 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "employees", "pid": 79412, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.627624Z [info     ] 2025-01-27 13:56:25,627 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.627722Z [info     ] 2025-01-27 13:56:25,627 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.678675Z [info     ] 2025-01-27 13:56:25,678 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.050908565521240234, "tags": {"stream": "order_details", "pid": 79412, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.678941Z [info     ] 2025-01-27 13:56:25,678 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 79412, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.679075Z [info     ] 2025-01-27 13:56:25,678 | INFO     | tap-csv.orders       | Beginning full_table sync of 'orders'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.679182Z [info     ] 2025-01-27 13:56:25,678 | INFO     | tap-csv.orders       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.707586Z [info     ] 2025-01-27 13:56:25,707 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.02837824821472168, "tags": {"stream": "orders", "pid": 79412, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.707807Z [info     ] 2025-01-27 13:56:25,707 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "orders", "pid": 79412, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.707909Z [info     ] 2025-01-27 13:56:25,707 | INFO     | tap-csv.products     | Beginning full_table sync of 'products'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.707991Z [info     ] 2025-01-27 13:56:25,707 | INFO     | tap-csv.products     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.710241Z [info     ] 2025-01-27 13:56:25,710 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.002326488494873047, "tags": {"stream": "products", "pid": 79412, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.710374Z [info     ] 2025-01-27 13:56:25,710 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "products", "pid": 79412, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.710458Z [info     ] 2025-01-27 13:56:25,710 | INFO     | tap-csv.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.710565Z [info     ] 2025-01-27 13:56:25,710 | INFO     | tap-csv.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.710785Z [info     ] 2025-01-27 13:56:25,710 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0002875328063964844, "tags": {"stream": "public-categories", "pid": 79412, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.710892Z [info     ] 2025-01-27 13:56:25,710 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 79412, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.710991Z [info     ] 2025-01-27 13:56:25,710 | INFO     | tap-csv.region       | Beginning full_table sync of 'region'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.711067Z [info     ] 2025-01-27 13:56:25,710 | INFO     | tap-csv.region       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.711192Z [info     ] 2025-01-27 13:56:25,711 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0001666545867919922, "tags": {"stream": "region", "pid": 79412, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.711295Z [info     ] 2025-01-27 13:56:25,711 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "region", "pid": 79412, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.711403Z [info     ] 2025-01-27 13:56:25,711 | INFO     | tap-csv.shippers     | Beginning full_table sync of 'shippers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.711525Z [info     ] 2025-01-27 13:56:25,711 | INFO     | tap-csv.shippers     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.711725Z [info     ] 2025-01-27 13:56:25,711 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0002257823944091797, "tags": {"stream": "shippers", "pid": 79412, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.711893Z [info     ] 2025-01-27 13:56:25,711 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 6, "tags": {"stream": "shippers", "pid": 79412, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.712005Z [info     ] 2025-01-27 13:56:25,711 | INFO     | tap-csv.suppliers    | Beginning full_table sync of 'suppliers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.712131Z [info     ] 2025-01-27 13:56:25,711 | INFO     | tap-csv.suppliers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.713208Z [info     ] 2025-01-27 13:56:25,713 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0011234283447265625, "tags": {"stream": "suppliers", "pid": 79412, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
2025-01-27T16:56:25.713335Z [info     ] 2025-01-27 13:56:25,713 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 29, "tags": {"stream": "suppliers", "pid": 79412, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=02897104-efef-4138-8414-931657f4023d stdio=stderr string_id=tap-csv
