2025-01-27T18:10:55.903770Z [info     ] 2025-01-27 15:10:55,903 | INFO     | tap-csv.categories   | Beginning full_table sync of 'categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=12fe17af-dac8-4f0a-9b8d-ee49e0b3da02 stdio=stderr string_id=tap-csv
2025-01-27T18:10:55.904268Z [info     ] 2025-01-27 15:10:55,903 | INFO     | tap-csv.categories   | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=12fe17af-dac8-4f0a-9b8d-ee49e0b3da02 stdio=stderr string_id=tap-csv
2025-01-27T18:10:55.904568Z [info     ] 2025-01-27 15:10:55,904 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0005044937133789062, "tags": {"stream": "categories", "pid": 106532, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=12fe17af-dac8-4f0a-9b8d-ee49e0b3da02 stdio=stderr string_id=tap-csv
2025-01-27T18:10:55.904753Z [info     ] 2025-01-27 15:10:55,904 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "categories", "pid": 106532, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=12fe17af-dac8-4f0a-9b8d-ee49e0b3da02 stdio=stderr string_id=tap-csv
2025-01-27T18:10:55.904937Z [info     ] 2025-01-27 15:10:55,904 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=12fe17af-dac8-4f0a-9b8d-ee49e0b3da02 stdio=stderr string_id=tap-csv
2025-01-27T18:10:55.905111Z [info     ] 2025-01-27 15:10:55,904 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=12fe17af-dac8-4f0a-9b8d-ee49e0b3da02 stdio=stderr string_id=tap-csv
2025-01-27T18:10:55.908232Z [info     ] 2025-01-27 15:10:55,908 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.003335237503051758, "tags": {"stream": "customers", "pid": 106532, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=12fe17af-dac8-4f0a-9b8d-ee49e0b3da02 stdio=stderr string_id=tap-csv
2025-01-27T18:10:55.908389Z [info     ] 2025-01-27 15:10:55,908 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 106532, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=12fe17af-dac8-4f0a-9b8d-ee49e0b3da02 stdio=stderr string_id=tap-csv
2025-01-27T18:10:55.908498Z [info     ] 2025-01-27 15:10:55,908 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=12fe17af-dac8-4f0a-9b8d-ee49e0b3da02 stdio=stderr string_id=tap-csv
2025-01-27T18:10:55.908614Z [info     ] 2025-01-27 15:10:55,908 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=12fe17af-dac8-4f0a-9b8d-ee49e0b3da02 stdio=stderr string_id=tap-csv
2025-01-27T18:10:55.909816Z [info     ] 2025-01-27 15:10:55,909 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012729167938232422, "tags": {"stream": "employee_territories", "pid": 106532, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=12fe17af-dac8-4f0a-9b8d-ee49e0b3da02 stdio=stderr string_id=tap-csv
