2025-01-27T00:01:57.200902Z [info     ] 2025-01-26 21:01:57,200 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=1391e9a3-6b76-4d5b-ab58-5e41f2066214 stdio=stderr string_id=tap-csv
2025-01-27T00:01:57.201327Z [info     ] 2025-01-26 21:01:57,200 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=1391e9a3-6b76-4d5b-ab58-5e41f2066214 stdio=stderr string_id=tap-csv
2025-01-27T00:01:57.205037Z [info     ] 2025-01-26 21:01:57,204 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0037779808044433594, "tags": {"stream": "customers", "pid": 66671, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=1391e9a3-6b76-4d5b-ab58-5e41f2066214 stdio=stderr string_id=tap-csv
2025-01-27T00:01:57.205254Z [info     ] 2025-01-26 21:01:57,205 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 66671, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=1391e9a3-6b76-4d5b-ab58-5e41f2066214 stdio=stderr string_id=tap-csv
2025-01-27T00:01:57.205396Z [info     ] 2025-01-26 21:01:57,205 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=1391e9a3-6b76-4d5b-ab58-5e41f2066214 stdio=stderr string_id=tap-csv
2025-01-27T00:01:57.205519Z [info     ] 2025-01-26 21:01:57,205 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=1391e9a3-6b76-4d5b-ab58-5e41f2066214 stdio=stderr string_id=tap-csv
2025-01-27T00:01:57.206741Z [info     ] 2025-01-26 21:01:57,206 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0013403892517089844, "tags": {"stream": "employee_territories", "pid": 66671, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=1391e9a3-6b76-4d5b-ab58-5e41f2066214 stdio=stderr string_id=tap-csv
2025-01-27T00:01:57.206904Z [info     ] 2025-01-26 21:01:57,206 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 66671, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=1391e9a3-6b76-4d5b-ab58-5e41f2066214 stdio=stderr string_id=tap-csv
2025-01-27T00:01:57.207066Z [info     ] 2025-01-26 21:01:57,206 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=1391e9a3-6b76-4d5b-ab58-5e41f2066214 stdio=stderr string_id=tap-csv
2025-01-27T00:01:57.207180Z [info     ] 2025-01-26 21:01:57,206 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=1391e9a3-6b76-4d5b-ab58-5e41f2066214 stdio=stderr string_id=tap-csv
2025-01-27T00:01:57.207821Z [info     ] 2025-01-26 21:01:57,207 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0005393028259277344, "tags": {"stream": "employees", "pid": 66671, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=1391e9a3-6b76-4d5b-ab58-5e41f2066214 stdio=stderr string_id=tap-csv
