2025-01-27T17:35:05.276278Z [info     ] 2025-01-27 14:35:05,276 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=23098603-b319-47ba-8ca7-6bbfd79ecfa4 stdio=stderr string_id=tap-csv
2025-01-27T17:35:05.276744Z [info     ] 2025-01-27 14:35:05,276 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=23098603-b319-47ba-8ca7-6bbfd79ecfa4 stdio=stderr string_id=tap-csv
2025-01-27T17:35:05.279849Z [info     ] 2025-01-27 14:35:05,279 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.003276824951171875, "tags": {"stream": "customers", "pid": 95578, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=23098603-b319-47ba-8ca7-6bbfd79ecfa4 stdio=stderr string_id=tap-csv
2025-01-27T17:35:05.280057Z [info     ] 2025-01-27 14:35:05,279 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 95578, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=23098603-b319-47ba-8ca7-6bbfd79ecfa4 stdio=stderr string_id=tap-csv
2025-01-27T17:35:05.280196Z [info     ] 2025-01-27 14:35:05,279 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=23098603-b319-47ba-8ca7-6bbfd79ecfa4 stdio=stderr string_id=tap-csv
2025-01-27T17:35:05.280324Z [info     ] 2025-01-27 14:35:05,279 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=23098603-b319-47ba-8ca7-6bbfd79ecfa4 stdio=stderr string_id=tap-csv
2025-01-27T17:35:05.281325Z [info     ] 2025-01-27 14:35:05,281 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0011763572692871094, "tags": {"stream": "employee_territories", "pid": 95578, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=23098603-b319-47ba-8ca7-6bbfd79ecfa4 stdio=stderr string_id=tap-csv
2025-01-27T17:35:05.281495Z [info     ] 2025-01-27 14:35:05,281 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 95578, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=23098603-b319-47ba-8ca7-6bbfd79ecfa4 stdio=stderr string_id=tap-csv
2025-01-27T17:35:05.281634Z [info     ] 2025-01-27 14:35:05,281 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=23098603-b319-47ba-8ca7-6bbfd79ecfa4 stdio=stderr string_id=tap-csv
2025-01-27T17:35:05.281800Z [info     ] 2025-01-27 14:35:05,281 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=23098603-b319-47ba-8ca7-6bbfd79ecfa4 stdio=stderr string_id=tap-csv
2025-01-27T17:35:05.282245Z [info     ] 2025-01-27 14:35:05,282 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0004892349243164062, "tags": {"stream": "employees", "pid": 95578, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=23098603-b319-47ba-8ca7-6bbfd79ecfa4 stdio=stderr string_id=tap-csv
