2025-01-27T00:01:43.555891Z [info     ] 2025-01-26 21:01:43,555 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.556433Z [info     ] 2025-01-26 21:01:43,555 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.559817Z [info     ] 2025-01-26 21:01:43,559 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0035245418548583984, "tags": {"stream": "customers", "pid": 66450, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.560039Z [info     ] 2025-01-26 21:01:43,559 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 66450, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.560182Z [info     ] 2025-01-26 21:01:43,559 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.560316Z [info     ] 2025-01-26 21:01:43,560 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.561740Z [info     ] 2025-01-26 21:01:43,561 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0014984607696533203, "tags": {"stream": "employee_territories", "pid": 66450, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.561926Z [info     ] 2025-01-26 21:01:43,561 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 66450, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.562077Z [info     ] 2025-01-26 21:01:43,561 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.562187Z [info     ] 2025-01-26 21:01:43,561 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.562644Z [info     ] 2025-01-26 21:01:43,562 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0004940032958984375, "tags": {"stream": "employees", "pid": 66450, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.562762Z [info     ] 2025-01-26 21:01:43,562 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "employees", "pid": 66450, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.562878Z [info     ] 2025-01-26 21:01:43,562 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.562958Z [info     ] 2025-01-26 21:01:43,562 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.618467Z [info     ] 2025-01-26 21:01:43,618 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05539250373840332, "tags": {"stream": "order_details", "pid": 66450, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.618805Z [info     ] 2025-01-26 21:01:43,618 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 66450, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.618980Z [info     ] 2025-01-26 21:01:43,618 | INFO     | tap-csv.orders       | Beginning full_table sync of 'orders'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.619140Z [info     ] 2025-01-26 21:01:43,618 | INFO     | tap-csv.orders       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.651840Z [info     ] 2025-01-26 21:01:43,651 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.032782554626464844, "tags": {"stream": "orders", "pid": 66450, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.652359Z [info     ] 2025-01-26 21:01:43,651 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "orders", "pid": 66450, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.652604Z [info     ] 2025-01-26 21:01:43,652 | INFO     | tap-csv.products     | Beginning full_table sync of 'products'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.652788Z [info     ] 2025-01-26 21:01:43,652 | INFO     | tap-csv.products     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.655474Z [info     ] 2025-01-26 21:01:43,655 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0029985904693603516, "tags": {"stream": "products", "pid": 66450, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.655670Z [info     ] 2025-01-26 21:01:43,655 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "products", "pid": 66450, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.655815Z [info     ] 2025-01-26 21:01:43,655 | INFO     | tap-csv.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.655937Z [info     ] 2025-01-26 21:01:43,655 | INFO     | tap-csv.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.656190Z [info     ] 2025-01-26 21:01:43,656 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00038743019104003906, "tags": {"stream": "public-categories", "pid": 66450, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.656330Z [info     ] 2025-01-26 21:01:43,656 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 66450, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.656481Z [info     ] 2025-01-26 21:01:43,656 | INFO     | tap-csv.region       | Beginning full_table sync of 'region'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.656607Z [info     ] 2025-01-26 21:01:43,656 | INFO     | tap-csv.region       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.656850Z [info     ] 2025-01-26 21:01:43,656 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.000274658203125, "tags": {"stream": "region", "pid": 66450, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
