2025-01-27T17:43:16.330212Z [info     ] 2025-01-27 14:43:16,330 | INFO     | tap-csv.categories   | Beginning full_table sync of 'categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.330673Z [info     ] 2025-01-27 14:43:16,330 | INFO     | tap-csv.categories   | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.330894Z [info     ] 2025-01-27 14:43:16,330 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00040459632873535156, "tags": {"stream": "categories", "pid": 99117, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.331013Z [info     ] 2025-01-27 14:43:16,330 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "categories", "pid": 99117, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.331186Z [info     ] 2025-01-27 14:43:16,330 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.331292Z [info     ] 2025-01-27 14:43:16,330 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.333861Z [info     ] 2025-01-27 14:43:16,333 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0026769638061523438, "tags": {"stream": "customers", "pid": 99117, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.334060Z [info     ] 2025-01-27 14:43:16,333 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 99117, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.334154Z [info     ] 2025-01-27 14:43:16,333 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.334236Z [info     ] 2025-01-27 14:43:16,334 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.335345Z [info     ] 2025-01-27 14:43:16,335 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.001178741455078125, "tags": {"stream": "employee_territories", "pid": 99117, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.335469Z [info     ] 2025-01-27 14:43:16,335 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 99117, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.335607Z [info     ] 2025-01-27 14:43:16,335 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.335695Z [info     ] 2025-01-27 14:43:16,335 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.335990Z [info     ] 2025-01-27 14:43:16,335 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0003516674041748047, "tags": {"stream": "employees", "pid": 99117, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.336150Z [info     ] 2025-01-27 14:43:16,335 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "employees", "pid": 99117, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.336269Z [info     ] 2025-01-27 14:43:16,336 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.336372Z [info     ] 2025-01-27 14:43:16,336 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.391750Z [info     ] 2025-01-27 14:43:16,391 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05543875694274902, "tags": {"stream": "order_details", "pid": 99117, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
