2025-01-26T21:29:14.404292Z [info     ] 2025-01-26 18:29:14,404 | INFO     | tap-csv              | Skipping deselected stream 'categories'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.404720Z [info     ] 2025-01-26 18:29:14,404 | INFO     | tap-csv              | Skipping deselected stream 'customers'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.404840Z [info     ] 2025-01-26 18:29:14,404 | INFO     | tap-csv              | Skipping deselected stream 'employee_territories'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.404932Z [info     ] 2025-01-26 18:29:14,404 | INFO     | tap-csv              | Skipping deselected stream 'employees'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.405049Z [info     ] 2025-01-26 18:29:14,404 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.405143Z [info     ] 2025-01-26 18:29:14,404 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.462707Z [info     ] 2025-01-26 18:29:14,462 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05792379379272461, "tags": {"stream": "order_details", "pid": 34112, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.463064Z [info     ] 2025-01-26 18:29:14,462 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 34112, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.463243Z [info     ] 2025-01-26 18:29:14,462 | INFO     | tap-csv              | Skipping deselected stream 'orders'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.463386Z [info     ] 2025-01-26 18:29:14,462 | INFO     | tap-csv              | Skipping deselected stream 'products'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.463552Z [info     ] 2025-01-26 18:29:14,463 | INFO     | tap-csv              | Skipping deselected stream 'region'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.463673Z [info     ] 2025-01-26 18:29:14,463 | INFO     | tap-csv              | Skipping deselected stream 'shippers'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
