2025-01-27T22:21:32.247077Z [info     ] 2025-01-27 19:21:32,246 | INFO     | tap-csv.categories   | Beginning full_table sync of 'categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.247569Z [info     ] 2025-01-27 19:21:32,246 | INFO     | tap-csv.categories   | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.247879Z [info     ] 2025-01-27 19:21:32,247 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0005090236663818359, "tags": {"stream": "categories", "pid": 191538, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.248062Z [info     ] 2025-01-27 19:21:32,247 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "categories", "pid": 191538, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.248294Z [info     ] 2025-01-27 19:21:32,247 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.248445Z [info     ] 2025-01-27 19:21:32,247 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.251398Z [info     ] 2025-01-27 19:21:32,251 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.003170490264892578, "tags": {"stream": "customers", "pid": 191538, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.251559Z [info     ] 2025-01-27 19:21:32,251 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 191538, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.251654Z [info     ] 2025-01-27 19:21:32,251 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.251773Z [info     ] 2025-01-27 19:21:32,251 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.252980Z [info     ] 2025-01-27 19:21:32,252 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012545585632324219, "tags": {"stream": "employee_territories", "pid": 191538, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.253099Z [info     ] 2025-01-27 19:21:32,252 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 191538, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.253212Z [info     ] 2025-01-27 19:21:32,253 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.253319Z [info     ] 2025-01-27 19:21:32,253 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.254013Z [info     ] 2025-01-27 19:21:32,253 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.000522613525390625, "tags": {"stream": "employees", "pid": 191538, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.254126Z [info     ] 2025-01-27 19:21:32,254 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "employees", "pid": 191538, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.254242Z [info     ] 2025-01-27 19:21:32,254 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.254328Z [info     ] 2025-01-27 19:21:32,254 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.307033Z [info     ] 2025-01-27 19:21:32,306 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05256056785583496, "tags": {"stream": "order_details", "pid": 191538, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.307267Z [info     ] 2025-01-27 19:21:32,306 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 191538, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.307355Z [info     ] 2025-01-27 19:21:32,307 | INFO     | tap-csv.orders       | Beginning full_table sync of 'orders'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.307432Z [info     ] 2025-01-27 19:21:32,307 | INFO     | tap-csv.orders       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.335050Z [info     ] 2025-01-27 19:21:32,334 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.027521371841430664, "tags": {"stream": "orders", "pid": 191538, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.335258Z [info     ] 2025-01-27 19:21:32,335 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "orders", "pid": 191538, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.335347Z [info     ] 2025-01-27 19:21:32,335 | INFO     | tap-csv.products     | Beginning full_table sync of 'products'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.335423Z [info     ] 2025-01-27 19:21:32,335 | INFO     | tap-csv.products     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.337811Z [info     ] 2025-01-27 19:21:32,337 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0023963451385498047, "tags": {"stream": "products", "pid": 191538, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.337924Z [info     ] 2025-01-27 19:21:32,337 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "products", "pid": 191538, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.338020Z [info     ] 2025-01-27 19:21:32,337 | INFO     | tap-csv.region       | Beginning full_table sync of 'region'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.338096Z [info     ] 2025-01-27 19:21:32,337 | INFO     | tap-csv.region       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.338215Z [info     ] 2025-01-27 19:21:32,338 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0001666545867919922, "tags": {"stream": "region", "pid": 191538, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.338326Z [info     ] 2025-01-27 19:21:32,338 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "region", "pid": 191538, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.338419Z [info     ] 2025-01-27 19:21:32,338 | INFO     | tap-csv.shippers     | Beginning full_table sync of 'shippers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.338501Z [info     ] 2025-01-27 19:21:32,338 | INFO     | tap-csv.shippers     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.338674Z [info     ] 2025-01-27 19:21:32,338 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0002269744873046875, "tags": {"stream": "shippers", "pid": 191538, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.338785Z [info     ] 2025-01-27 19:21:32,338 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 6, "tags": {"stream": "shippers", "pid": 191538, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.338876Z [info     ] 2025-01-27 19:21:32,338 | INFO     | tap-csv.suppliers    | Beginning full_table sync of 'suppliers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.338950Z [info     ] 2025-01-27 19:21:32,338 | INFO     | tap-csv.suppliers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.339990Z [info     ] 2025-01-27 19:21:32,339 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0010230541229248047, "tags": {"stream": "suppliers", "pid": 191538, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.340097Z [info     ] 2025-01-27 19:21:32,339 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 29, "tags": {"stream": "suppliers", "pid": 191538, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.340202Z [info     ] 2025-01-27 19:21:32,340 | INFO     | tap-csv.territories  | Beginning full_table sync of 'territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
2025-01-27T22:21:32.340275Z [info     ] 2025-01-27 19:21:32,340 | INFO     | tap-csv.territories  | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=5c1f19b5-8490-4699-b115-3433fd31bc12 stdio=stderr string_id=tap-csv
