2025-01-26T21:30:54.500054Z [info     ] 2025-01-26 18:30:54,499 | INFO     | tap-csv              | Skipping deselected stream 'customers'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.500579Z [info     ] 2025-01-26 18:30:54,499 | INFO     | tap-csv              | Skipping deselected stream 'employee_territories'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.500721Z [info     ] 2025-01-26 18:30:54,500 | INFO     | tap-csv              | Skipping deselected stream 'employees'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.500817Z [info     ] 2025-01-26 18:30:54,500 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.500925Z [info     ] 2025-01-26 18:30:54,500 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.554323Z [info     ] 2025-01-26 18:30:54,554 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05367136001586914, "tags": {"stream": "order_details", "pid": 34448, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.554665Z [info     ] 2025-01-26 18:30:54,554 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 34448, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.554785Z [info     ] 2025-01-26 18:30:54,554 | INFO     | tap-csv              | Skipping deselected stream 'orders'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.554894Z [info     ] 2025-01-26 18:30:54,554 | INFO     | tap-csv              | Skipping deselected stream 'products'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.554978Z [info     ] 2025-01-26 18:30:54,554 | INFO     | tap-csv.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.555073Z [info     ] 2025-01-26 18:30:54,554 | INFO     | tap-csv.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.555187Z [info     ] 2025-01-26 18:30:54,555 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0003936290740966797, "tags": {"stream": "public-categories", "pid": 34448, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.555290Z [info     ] 2025-01-26 18:30:54,555 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 34448, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.555393Z [info     ] 2025-01-26 18:30:54,555 | INFO     | tap-csv              | Skipping deselected stream 'region'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.555475Z [info     ] 2025-01-26 18:30:54,555 | INFO     | tap-csv              | Skipping deselected stream 'shippers'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.555551Z [info     ] 2025-01-26 18:30:54,555 | INFO     | tap-csv              | Skipping deselected stream 'suppliers'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.555649Z [info     ] 2025-01-26 18:30:54,555 | INFO     | tap-csv              | Skipping deselected stream 'territories'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.555729Z [info     ] 2025-01-26 18:30:54,555 | INFO     | tap-csv              | Skipping deselected stream 'us_states'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=tap-csv
2025-01-26T21:30:54.741924Z [info     ] 2025-01-26 18:30:54,741 | INFO     | target-postgres      | Target 'target-postgres' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:54.742202Z [info     ] 2025-01-26 18:30:54,741 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:54.742333Z [info     ] 2025-01-26 18:30:54,742 | INFO     | target-postgres.order_details | Initializing target sink for stream 'order_details'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:54.950540Z [info     ] 2025-01-26 18:30:54,950 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:54.950766Z [info     ] 2025-01-26 18:30:54,950 | INFO     | target-postgres.public-categories | Initializing target sink for stream 'public-categories'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:55.068470Z [info     ] 2025-01-26 18:30:55,068 | INFO     | target-postgres      | Target 'target-postgres' completed reading 2168 lines of input (2 schemas, 2163 records, 0 batch manifests, 3 state messages). cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:55.112349Z [info     ] 2025-01-26 18:30:55,111 | INFO     | target-postgres.order_details | Inserting with SQL: INSERT INTO bfc2eedc_73b3_4eb0_8904_9a3cf54852a1 (order_id, product_id, unit_price, quantity, discount) VALUES (:order_id, :product_id, :unit_price, :quantity, :discount) cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:55.116665Z [info     ] 2025-01-26 18:30:55,116 | INFO     | target-postgres.public-categories | Inserting with SQL: INSERT INTO "29c7f6da_7303_45d1_b539_fe0aeca47f7a" (category_id, category_name, description, picture) VALUES (:category_id, :category_name, :description, :picture) cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:55.135395Z [info     ] 2025-01-26 18:30:55,134 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "batch_processing_time", "value": 0.06323385238647461, "tags": {"stream": "public-categories", "pid": 34456, "status": "succeeded"}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:55.281346Z [info     ] 2025-01-26 18:30:55,232 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "batch_processing_time", "value": 0.1605854034423828, "tags": {"stream": "order_details", "pid": 34456, "status": "succeeded"}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:55.281573Z [info     ] 2025-01-26 18:30:55,238 | INFO     | target-postgres.order_details | Cleaning up order_details cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:55.281699Z [info     ] 2025-01-26 18:30:55,238 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 34456}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:55.281814Z [info     ] 2025-01-26 18:30:55,238 | INFO     | target-postgres.public-categories | Cleaning up public-categories cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:55.281922Z [info     ] 2025-01-26 18:30:55,238 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 34456}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:55.282045Z [info     ] 2025-01-26 18:30:55,238 | INFO     | target-postgres      | Emitting completed target state {"bookmarks": {"order_details": {}, "public-categories": {}}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=63920eda-9a7a-4b40-b976-8ff8f1d7d391 stdio=stderr string_id=target-postgres
2025-01-26T21:30:55.447641Z [info     ] Incremental state has been updated at 2025-01-26 21:30:55.447608+00:00.
2025-01-26T21:30:55.539623Z [info     ] Block run completed.           block_type=ExtractLoadBlocks err=None set_number=0 success=True
