2025-01-27T19:30:08.833146Z [info     ] 2025-01-27 16:30:08,832 | INFO     | tap-csv.categories   | Beginning full_table sync of 'categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.833672Z [info     ] 2025-01-27 16:30:08,833 | INFO     | tap-csv.categories   | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.833962Z [info     ] 2025-01-27 16:30:08,833 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0004229545593261719, "tags": {"stream": "categories", "pid": 136776, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.834107Z [info     ] 2025-01-27 16:30:08,833 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "categories", "pid": 136776, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.834253Z [info     ] 2025-01-27 16:30:08,833 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.834383Z [info     ] 2025-01-27 16:30:08,833 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.837199Z [info     ] 2025-01-27 16:30:08,837 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.003075122833251953, "tags": {"stream": "customers", "pid": 136776, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.837457Z [info     ] 2025-01-27 16:30:08,837 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 136776, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.837674Z [info     ] 2025-01-27 16:30:08,837 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.837824Z [info     ] 2025-01-27 16:30:08,837 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.838677Z [info     ] 2025-01-27 16:30:08,838 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012078285217285156, "tags": {"stream": "employee_territories", "pid": 136776, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.838838Z [info     ] 2025-01-27 16:30:08,838 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 136776, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.839000Z [info     ] 2025-01-27 16:30:08,838 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.839126Z [info     ] 2025-01-27 16:30:08,838 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.839658Z [info     ] 2025-01-27 16:30:08,839 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0005397796630859375, "tags": {"stream": "employees", "pid": 136776, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.839860Z [info     ] 2025-01-27 16:30:08,839 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "employees", "pid": 136776, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.840005Z [info     ] 2025-01-27 16:30:08,839 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.840200Z [info     ] 2025-01-27 16:30:08,839 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.897682Z [info     ] 2025-01-27 16:30:08,897 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05752682685852051, "tags": {"stream": "order_details", "pid": 136776, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.897947Z [info     ] 2025-01-27 16:30:08,897 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 136776, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.898184Z [info     ] 2025-01-27 16:30:08,897 | INFO     | tap-csv.orders       | Beginning full_table sync of 'orders'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.898334Z [info     ] 2025-01-27 16:30:08,897 | INFO     | tap-csv.orders       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.928907Z [info     ] 2025-01-27 16:30:08,928 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.030716657638549805, "tags": {"stream": "orders", "pid": 136776, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.929155Z [info     ] 2025-01-27 16:30:08,928 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "orders", "pid": 136776, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.929279Z [info     ] 2025-01-27 16:30:08,929 | INFO     | tap-csv.products     | Beginning full_table sync of 'products'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.929377Z [info     ] 2025-01-27 16:30:08,929 | INFO     | tap-csv.products     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.931978Z [info     ] 2025-01-27 16:30:08,931 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0027108192443847656, "tags": {"stream": "products", "pid": 136776, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
2025-01-27T19:30:08.932155Z [info     ] 2025-01-27 16:30:08,931 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "products", "pid": 136776, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=67d0a3bd-9ee9-4e21-b8f9-0e3ac8e55788 stdio=stderr string_id=tap-csv
