2025-01-27T17:26:39.725115Z [info     ] 2025-01-27 14:26:39,724 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.725650Z [info     ] 2025-01-27 14:26:39,725 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.728608Z [info     ] 2025-01-27 14:26:39,728 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0031824111938476562, "tags": {"stream": "customers", "pid": 91953, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.728817Z [info     ] 2025-01-27 14:26:39,728 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 91953, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.728963Z [info     ] 2025-01-27 14:26:39,728 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.729072Z [info     ] 2025-01-27 14:26:39,728 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.730080Z [info     ] 2025-01-27 14:26:39,730 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012035369873046875, "tags": {"stream": "employee_territories", "pid": 91953, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.730241Z [info     ] 2025-01-27 14:26:39,730 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 91953, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.730375Z [info     ] 2025-01-27 14:26:39,730 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.730471Z [info     ] 2025-01-27 14:26:39,730 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.731193Z [info     ] 2025-01-27 14:26:39,731 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0005376338958740234, "tags": {"stream": "employees", "pid": 91953, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.731541Z [info     ] 2025-01-27 14:26:39,731 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "employees", "pid": 91953, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.731720Z [info     ] 2025-01-27 14:26:39,731 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.731863Z [info     ] 2025-01-27 14:26:39,731 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.791456Z [info     ] 2025-01-27 14:26:39,791 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05979323387145996, "tags": {"stream": "order_details", "pid": 91953, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
2025-01-27T17:26:39.791684Z [info     ] 2025-01-27 14:26:39,791 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 91953, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6b7debab-044e-41ca-af44-382b4b872455 stdio=stderr string_id=tap-csv
