2025-01-27T01:01:22.614115Z [info     ] 2025-01-26 22:01:22,613 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.614845Z [info     ] 2025-01-26 22:01:22,613 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.618347Z [info     ] 2025-01-26 22:01:22,618 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.003525972366333008, "tags": {"stream": "customers", "pid": 86546, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.618649Z [info     ] 2025-01-26 22:01:22,618 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 86546, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.618793Z [info     ] 2025-01-26 22:01:22,618 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.618894Z [info     ] 2025-01-26 22:01:22,618 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.620385Z [info     ] 2025-01-26 22:01:22,620 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.001623392105102539, "tags": {"stream": "employee_territories", "pid": 86546, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.620618Z [info     ] 2025-01-26 22:01:22,620 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 86546, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.620793Z [info     ] 2025-01-26 22:01:22,620 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.620906Z [info     ] 2025-01-26 22:01:22,620 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.621690Z [info     ] 2025-01-26 22:01:22,621 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0006492137908935547, "tags": {"stream": "employees", "pid": 86546, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
