2025-01-26T20:32:12.772409Z [info     ] 2025-01-26 17:32:12,772 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.772858Z [info     ] 2025-01-26 17:32:12,772 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.826055Z [info     ] 2025-01-26 17:32:12,825 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05323505401611328, "tags": {"stream": "order_details", "pid": 23627, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.826488Z [info     ] 2025-01-26 17:32:12,826 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 23627, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.826621Z [info     ] 2025-01-26 17:32:12,826 | INFO     | tap-csv.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.826714Z [info     ] 2025-01-26 17:32:12,826 | INFO     | tap-csv.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.826826Z [info     ] 2025-01-26 17:32:12,826 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0002918243408203125, "tags": {"stream": "public-categories", "pid": 23627, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.826947Z [info     ] 2025-01-26 17:32:12,826 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 23627, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.827047Z [info     ] 2025-01-26 17:32:12,826 | INFO     | tap-csv.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.827128Z [info     ] 2025-01-26 17:32:12,826 | INFO     | tap-csv.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.829909Z [info     ] 2025-01-26 17:32:12,829 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.002927541732788086, "tags": {"stream": "public-customers", "pid": 23627, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
