2025-01-26T21:32:22.626828Z [info     ] 2025-01-26 18:32:22,626 | INFO     | tap-csv              | Skipping deselected stream 'customers'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.627251Z [info     ] 2025-01-26 18:32:22,626 | INFO     | tap-csv              | Skipping deselected stream 'employee_territories'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.627503Z [info     ] 2025-01-26 18:32:22,626 | INFO     | tap-csv              | Skipping deselected stream 'employees'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.627644Z [info     ] 2025-01-26 18:32:22,626 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.627773Z [info     ] 2025-01-26 18:32:22,626 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.682195Z [info     ] 2025-01-26 18:32:22,682 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05489397048950195, "tags": {"stream": "order_details", "pid": 34872, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.682431Z [info     ] 2025-01-26 18:32:22,682 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 34872, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.682531Z [info     ] 2025-01-26 18:32:22,682 | INFO     | tap-csv              | Skipping deselected stream 'orders'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.682617Z [info     ] 2025-01-26 18:32:22,682 | INFO     | tap-csv              | Skipping deselected stream 'products'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.682723Z [info     ] 2025-01-26 18:32:22,682 | INFO     | tap-csv.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.682806Z [info     ] 2025-01-26 18:32:22,682 | INFO     | tap-csv.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.682927Z [info     ] 2025-01-26 18:32:22,682 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0003139972686767578, "tags": {"stream": "public-categories", "pid": 34872, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.683202Z [info     ] 2025-01-26 18:32:22,682 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 34872, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.683288Z [info     ] 2025-01-26 18:32:22,683 | INFO     | tap-csv              | Skipping deselected stream 'region'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.683382Z [info     ] 2025-01-26 18:32:22,683 | INFO     | tap-csv              | Skipping deselected stream 'shippers'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
