2025-01-27T17:31:18.882578Z [info     ] 2025-01-27 14:31:18,882 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.883017Z [info     ] 2025-01-27 14:31:18,882 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.886190Z [info     ] 2025-01-27 14:31:18,886 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.003333568572998047, "tags": {"stream": "customers", "pid": 94038, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.886375Z [info     ] 2025-01-27 14:31:18,886 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 94038, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.886487Z [info     ] 2025-01-27 14:31:18,886 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.886589Z [info     ] 2025-01-27 14:31:18,886 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.887703Z [info     ] 2025-01-27 14:31:18,887 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012078285217285156, "tags": {"stream": "employee_territories", "pid": 94038, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.887835Z [info     ] 2025-01-27 14:31:18,887 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 94038, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.887948Z [info     ] 2025-01-27 14:31:18,887 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.888039Z [info     ] 2025-01-27 14:31:18,887 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.888562Z [info     ] 2025-01-27 14:31:18,888 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0004787445068359375, "tags": {"stream": "employees", "pid": 94038, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
2025-01-27T17:31:18.888702Z [info     ] 2025-01-27 14:31:18,888 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "employees", "pid": 94038, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=81c521f7-e539-4657-83aa-f9208afa76bd stdio=stderr string_id=tap-csv
