2025-01-27T18:01:07.741859Z [info     ] 2025-01-27 15:01:07,741 | INFO     | tap-csv.categories   | Beginning full_table sync of 'categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=82b1458d-8c87-4068-9f30-d51ff77a9a2b stdio=stderr string_id=tap-csv
2025-01-27T18:01:07.742286Z [info     ] 2025-01-27 15:01:07,741 | INFO     | tap-csv.categories   | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=82b1458d-8c87-4068-9f30-d51ff77a9a2b stdio=stderr string_id=tap-csv
2025-01-27T18:01:07.742552Z [info     ] 2025-01-27 15:01:07,742 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0004088878631591797, "tags": {"stream": "categories", "pid": 103597, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=82b1458d-8c87-4068-9f30-d51ff77a9a2b stdio=stderr string_id=tap-csv
2025-01-27T18:01:07.742684Z [info     ] 2025-01-27 15:01:07,742 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "categories", "pid": 103597, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=82b1458d-8c87-4068-9f30-d51ff77a9a2b stdio=stderr string_id=tap-csv
2025-01-27T18:01:07.742881Z [info     ] 2025-01-27 15:01:07,742 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=82b1458d-8c87-4068-9f30-d51ff77a9a2b stdio=stderr string_id=tap-csv
2025-01-27T18:01:07.743004Z [info     ] 2025-01-27 15:01:07,742 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=82b1458d-8c87-4068-9f30-d51ff77a9a2b stdio=stderr string_id=tap-csv
2025-01-27T18:01:07.745805Z [info     ] 2025-01-27 15:01:07,745 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.003000497817993164, "tags": {"stream": "customers", "pid": 103597, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=82b1458d-8c87-4068-9f30-d51ff77a9a2b stdio=stderr string_id=tap-csv
2025-01-27T18:01:07.745969Z [info     ] 2025-01-27 15:01:07,745 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 103597, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=82b1458d-8c87-4068-9f30-d51ff77a9a2b stdio=stderr string_id=tap-csv
2025-01-27T18:01:07.746073Z [info     ] 2025-01-27 15:01:07,745 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=82b1458d-8c87-4068-9f30-d51ff77a9a2b stdio=stderr string_id=tap-csv
2025-01-27T18:01:07.746183Z [info     ] 2025-01-27 15:01:07,745 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=82b1458d-8c87-4068-9f30-d51ff77a9a2b stdio=stderr string_id=tap-csv
2025-01-27T18:01:07.747125Z [info     ] 2025-01-27 15:01:07,747 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0010721683502197266, "tags": {"stream": "employee_territories", "pid": 103597, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=82b1458d-8c87-4068-9f30-d51ff77a9a2b stdio=stderr string_id=tap-csv
