2025-01-27T17:41:26.933119Z [info     ] 2025-01-27 14:41:26,932 | INFO     | tap-csv.categories   | Beginning full_table sync of 'categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.933603Z [info     ] 2025-01-27 14:41:26,933 | INFO     | tap-csv.categories   | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.933838Z [info     ] 2025-01-27 14:41:26,933 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0004076957702636719, "tags": {"stream": "categories", "pid": 98347, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.933947Z [info     ] 2025-01-27 14:41:26,933 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "categories", "pid": 98347, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.934086Z [info     ] 2025-01-27 14:41:26,933 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.934177Z [info     ] 2025-01-27 14:41:26,933 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.936278Z [info     ] 2025-01-27 14:41:26,936 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.002289295196533203, "tags": {"stream": "customers", "pid": 98347, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.936415Z [info     ] 2025-01-27 14:41:26,936 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 98347, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.936543Z [info     ] 2025-01-27 14:41:26,936 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.936635Z [info     ] 2025-01-27 14:41:26,936 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.937827Z [info     ] 2025-01-27 14:41:26,937 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012140274047851562, "tags": {"stream": "employee_territories", "pid": 98347, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.937955Z [info     ] 2025-01-27 14:41:26,937 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 98347, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.938077Z [info     ] 2025-01-27 14:41:26,937 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.938163Z [info     ] 2025-01-27 14:41:26,937 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.938573Z [info     ] 2025-01-27 14:41:26,938 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00045561790466308594, "tags": {"stream": "employees", "pid": 98347, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.938696Z [info     ] 2025-01-27 14:41:26,938 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "employees", "pid": 98347, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.938799Z [info     ] 2025-01-27 14:41:26,938 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.938900Z [info     ] 2025-01-27 14:41:26,938 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.987253Z [info     ] 2025-01-27 14:41:26,987 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.04824948310852051, "tags": {"stream": "order_details", "pid": 98347, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.987552Z [info     ] 2025-01-27 14:41:26,987 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 98347, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.987689Z [info     ] 2025-01-27 14:41:26,987 | INFO     | tap-csv.orders       | Beginning full_table sync of 'orders'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:26.987836Z [info     ] 2025-01-27 14:41:26,987 | INFO     | tap-csv.orders       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.008876Z [info     ] 2025-01-27 14:41:27,008 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.021118879318237305, "tags": {"stream": "orders", "pid": 98347, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.009109Z [info     ] 2025-01-27 14:41:27,008 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "orders", "pid": 98347, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.009209Z [info     ] 2025-01-27 14:41:27,008 | INFO     | tap-csv.products     | Beginning full_table sync of 'products'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.009298Z [info     ] 2025-01-27 14:41:27,008 | INFO     | tap-csv.products     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.011020Z [info     ] 2025-01-27 14:41:27,010 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0018718242645263672, "tags": {"stream": "products", "pid": 98347, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.011162Z [info     ] 2025-01-27 14:41:27,011 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "products", "pid": 98347, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.011278Z [info     ] 2025-01-27 14:41:27,011 | INFO     | tap-csv.region       | Beginning full_table sync of 'region'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.011399Z [info     ] 2025-01-27 14:41:27,011 | INFO     | tap-csv.region       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.011543Z [info     ] 2025-01-27 14:41:27,011 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.000148773193359375, "tags": {"stream": "region", "pid": 98347, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
