2025-01-27T23:05:20.481216Z [info     ] 2025-01-27 20:05:20,481 | INFO     | tap-csv.categories   | Beginning full_table sync of 'categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=9d5a6a59-dc4d-4678-acd2-daaf97e39bc2 stdio=stderr string_id=tap-csv
2025-01-27T23:05:20.481690Z [info     ] 2025-01-27 20:05:20,481 | INFO     | tap-csv.categories   | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=9d5a6a59-dc4d-4678-acd2-daaf97e39bc2 stdio=stderr string_id=tap-csv
2025-01-27T23:05:20.485633Z [info     ] 2025-01-27 20:05:20,481 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00046324729919433594, "tags": {"stream": "categories", "pid": 205868, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=9d5a6a59-dc4d-4678-acd2-daaf97e39bc2 stdio=stderr string_id=tap-csv
2025-01-27T23:05:20.485819Z [info     ] 2025-01-27 20:05:20,481 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "categories", "pid": 205868, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=9d5a6a59-dc4d-4678-acd2-daaf97e39bc2 stdio=stderr string_id=tap-csv
2025-01-27T23:05:20.485934Z [info     ] 2025-01-27 20:05:20,482 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=9d5a6a59-dc4d-4678-acd2-daaf97e39bc2 stdio=stderr string_id=tap-csv
2025-01-27T23:05:20.486025Z [info     ] 2025-01-27 20:05:20,482 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=9d5a6a59-dc4d-4678-acd2-daaf97e39bc2 stdio=stderr string_id=tap-csv
2025-01-27T23:05:20.488321Z [info     ] 2025-01-27 20:05:20,488 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.005984783172607422, "tags": {"stream": "customers", "pid": 205868, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=9d5a6a59-dc4d-4678-acd2-daaf97e39bc2 stdio=stderr string_id=tap-csv
2025-01-27T23:05:20.488557Z [info     ] 2025-01-27 20:05:20,488 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 205868, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=9d5a6a59-dc4d-4678-acd2-daaf97e39bc2 stdio=stderr string_id=tap-csv
2025-01-27T23:05:20.488862Z [info     ] 2025-01-27 20:05:20,488 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=9d5a6a59-dc4d-4678-acd2-daaf97e39bc2 stdio=stderr string_id=tap-csv
2025-01-27T23:05:20.489044Z [info     ] 2025-01-27 20:05:20,488 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=9d5a6a59-dc4d-4678-acd2-daaf97e39bc2 stdio=stderr string_id=tap-csv
2025-01-27T23:05:20.495840Z [info     ] 2025-01-27 20:05:20,492 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0032253265380859375, "tags": {"stream": "employee_territories", "pid": 205868, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=9d5a6a59-dc4d-4678-acd2-daaf97e39bc2 stdio=stderr string_id=tap-csv
