2025-01-26T21:31:39.487620Z [info     ] 2025-01-26 18:31:39,487 | INFO     | tap-csv              | Skipping deselected stream 'customers'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.488045Z [info     ] 2025-01-26 18:31:39,487 | INFO     | tap-csv              | Skipping deselected stream 'employee_territories'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.488165Z [info     ] 2025-01-26 18:31:39,487 | INFO     | tap-csv              | Skipping deselected stream 'employees'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.488253Z [info     ] 2025-01-26 18:31:39,487 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.488344Z [info     ] 2025-01-26 18:31:39,487 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.544634Z [info     ] 2025-01-26 18:31:39,544 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05646777153015137, "tags": {"stream": "order_details", "pid": 34592, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.544968Z [info     ] 2025-01-26 18:31:39,544 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 34592, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.545141Z [info     ] 2025-01-26 18:31:39,544 | INFO     | tap-csv              | Skipping deselected stream 'orders'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.545268Z [info     ] 2025-01-26 18:31:39,544 | INFO     | tap-csv              | Skipping deselected stream 'products'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.545388Z [info     ] 2025-01-26 18:31:39,544 | INFO     | tap-csv.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.545531Z [info     ] 2025-01-26 18:31:39,544 | INFO     | tap-csv.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.545675Z [info     ] 2025-01-26 18:31:39,545 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.000396728515625, "tags": {"stream": "public-categories", "pid": 34592, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.545805Z [info     ] 2025-01-26 18:31:39,545 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 34592, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.545952Z [info     ] 2025-01-26 18:31:39,545 | INFO     | tap-csv              | Skipping deselected stream 'region'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.546083Z [info     ] 2025-01-26 18:31:39,545 | INFO     | tap-csv              | Skipping deselected stream 'shippers'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.546201Z [info     ] 2025-01-26 18:31:39,545 | INFO     | tap-csv              | Skipping deselected stream 'suppliers'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.546317Z [info     ] 2025-01-26 18:31:39,545 | INFO     | tap-csv              | Skipping deselected stream 'territories'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.546433Z [info     ] 2025-01-26 18:31:39,545 | INFO     | tap-csv              | Skipping deselected stream 'us_states'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=tap-csv
2025-01-26T21:31:39.736705Z [info     ] 2025-01-26 18:31:39,736 | INFO     | target-postgres      | Target 'target-postgres' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=target-postgres
2025-01-26T21:31:39.737007Z [info     ] 2025-01-26 18:31:39,736 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=target-postgres
2025-01-26T21:31:39.737182Z [info     ] 2025-01-26 18:31:39,736 | INFO     | target-postgres.order_details | Initializing target sink for stream 'order_details'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=target-postgres
2025-01-26T21:31:39.939176Z [info     ] 2025-01-26 18:31:39,938 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=target-postgres
2025-01-26T21:31:39.939456Z [info     ] 2025-01-26 18:31:39,939 | INFO     | target-postgres.public-categories | Initializing target sink for stream 'public-categories'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=target-postgres
2025-01-26T21:31:39.969100Z [info     ] 2025-01-26 18:31:39,968 | INFO     | target-postgres      | Target 'target-postgres' completed reading 2168 lines of input (2 schemas, 2163 records, 0 batch manifests, 3 state messages). cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=target-postgres
2025-01-26T21:31:40.004130Z [info     ] 2025-01-26 18:31:40,003 | INFO     | target-postgres.public-categories | Inserting with SQL: INSERT INTO "45f9a345_2409_42be_bdd4_55aa23aba169" (category_id, category_name, description, picture) VALUES (:category_id, :category_name, :description, :picture) cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=target-postgres
2025-01-26T21:31:40.010816Z [info     ] 2025-01-26 18:31:40,010 | INFO     | target-postgres.order_details | Inserting with SQL: INSERT INTO "32a7d988_cfae_4f4f_8b68_fdefbc71f57a" (order_id, product_id, unit_price, quantity, discount) VALUES (:order_id, :product_id, :unit_price, :quantity, :discount) cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=target-postgres
2025-01-26T21:31:40.029363Z [info     ] 2025-01-26 18:31:40,028 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "batch_processing_time", "value": 0.05718493461608887, "tags": {"stream": "public-categories", "pid": 34594, "status": "succeeded"}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=target-postgres
2025-01-26T21:31:40.103700Z [info     ] 2025-01-26 18:31:40,103 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "batch_processing_time", "value": 0.13216400146484375, "tags": {"stream": "order_details", "pid": 34594, "status": "succeeded"}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=target-postgres
2025-01-26T21:31:40.105966Z [info     ] 2025-01-26 18:31:40,105 | INFO     | target-postgres.order_details | Cleaning up order_details cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=a36324b2-4ac7-4df0-b950-4a7f9847c659 stdio=stderr string_id=target-postgres
