2025-01-26T21:51:10.791259Z [info     ] 2025-01-26 18:51:10,791 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=bd890f02-0db7-4b03-91e6-0cfd347ab585 stdio=stderr string_id=tap-csv
2025-01-26T21:51:10.791745Z [info     ] 2025-01-26 18:51:10,791 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=bd890f02-0db7-4b03-91e6-0cfd347ab585 stdio=stderr string_id=tap-csv
2025-01-26T21:51:10.794802Z [info     ] 2025-01-26 18:51:10,794 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.003255128860473633, "tags": {"stream": "customers", "pid": 39762, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=bd890f02-0db7-4b03-91e6-0cfd347ab585 stdio=stderr string_id=tap-csv
2025-01-26T21:51:10.794942Z [info     ] 2025-01-26 18:51:10,794 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 39762, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=bd890f02-0db7-4b03-91e6-0cfd347ab585 stdio=stderr string_id=tap-csv
2025-01-26T21:51:10.795066Z [info     ] 2025-01-26 18:51:10,794 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=bd890f02-0db7-4b03-91e6-0cfd347ab585 stdio=stderr string_id=tap-csv
2025-01-26T21:51:10.795189Z [info     ] 2025-01-26 18:51:10,794 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=bd890f02-0db7-4b03-91e6-0cfd347ab585 stdio=stderr string_id=tap-csv
2025-01-26T21:51:10.796225Z [info     ] 2025-01-26 18:51:10,796 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0011310577392578125, "tags": {"stream": "employee_territories", "pid": 39762, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=bd890f02-0db7-4b03-91e6-0cfd347ab585 stdio=stderr string_id=tap-csv
2025-01-26T21:51:10.796421Z [info     ] 2025-01-26 18:51:10,796 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 39762, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=bd890f02-0db7-4b03-91e6-0cfd347ab585 stdio=stderr string_id=tap-csv
2025-01-26T21:51:10.796548Z [info     ] 2025-01-26 18:51:10,796 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=bd890f02-0db7-4b03-91e6-0cfd347ab585 stdio=stderr string_id=tap-csv
2025-01-26T21:51:10.796651Z [info     ] 2025-01-26 18:51:10,796 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=bd890f02-0db7-4b03-91e6-0cfd347ab585 stdio=stderr string_id=tap-csv
2025-01-26T21:51:10.797051Z [info     ] 2025-01-26 18:51:10,796 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00047469139099121094, "tags": {"stream": "employees", "pid": 39762, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=bd890f02-0db7-4b03-91e6-0cfd347ab585 stdio=stderr string_id=tap-csv
