2025-01-27T20:14:40.093110Z [info     ] 2025-01-27 17:14:40,092 | INFO     | tap-csv.categories   | Beginning full_table sync of 'categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c1ceea86-b430-479d-a2c9-e304408fae00 stdio=stderr string_id=tap-csv
2025-01-27T20:14:40.093649Z [info     ] 2025-01-27 17:14:40,093 | INFO     | tap-csv.categories   | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c1ceea86-b430-479d-a2c9-e304408fae00 stdio=stderr string_id=tap-csv
2025-01-27T20:14:40.094082Z [info     ] 2025-01-27 17:14:40,093 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0006313323974609375, "tags": {"stream": "categories", "pid": 153784, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c1ceea86-b430-479d-a2c9-e304408fae00 stdio=stderr string_id=tap-csv
2025-01-27T20:14:40.094300Z [info     ] 2025-01-27 17:14:40,094 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "categories", "pid": 153784, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c1ceea86-b430-479d-a2c9-e304408fae00 stdio=stderr string_id=tap-csv
2025-01-27T20:14:40.094461Z [info     ] 2025-01-27 17:14:40,094 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c1ceea86-b430-479d-a2c9-e304408fae00 stdio=stderr string_id=tap-csv
2025-01-27T20:14:40.094658Z [info     ] 2025-01-27 17:14:40,094 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c1ceea86-b430-479d-a2c9-e304408fae00 stdio=stderr string_id=tap-csv
2025-01-27T20:14:40.098102Z [info     ] 2025-01-27 17:14:40,098 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.003511667251586914, "tags": {"stream": "customers", "pid": 153784, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c1ceea86-b430-479d-a2c9-e304408fae00 stdio=stderr string_id=tap-csv
2025-01-27T20:14:40.098312Z [info     ] 2025-01-27 17:14:40,098 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 153784, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c1ceea86-b430-479d-a2c9-e304408fae00 stdio=stderr string_id=tap-csv
2025-01-27T20:14:40.098448Z [info     ] 2025-01-27 17:14:40,098 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c1ceea86-b430-479d-a2c9-e304408fae00 stdio=stderr string_id=tap-csv
2025-01-27T20:14:40.098594Z [info     ] 2025-01-27 17:14:40,098 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c1ceea86-b430-479d-a2c9-e304408fae00 stdio=stderr string_id=tap-csv
2025-01-27T20:14:40.099591Z [info     ] 2025-01-27 17:14:40,099 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012080669403076172, "tags": {"stream": "employee_territories", "pid": 153784, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c1ceea86-b430-479d-a2c9-e304408fae00 stdio=stderr string_id=tap-csv
