2025-01-27T22:45:01.019611Z [info     ] 2025-01-27 19:45:01,019 | INFO     | tap-csv.categories   | Beginning full_table sync of 'categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.020095Z [info     ] 2025-01-27 19:45:01,019 | INFO     | tap-csv.categories   | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.020500Z [info     ] 2025-01-27 19:45:01,020 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0006148815155029297, "tags": {"stream": "categories", "pid": 196490, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.020664Z [info     ] 2025-01-27 19:45:01,020 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "categories", "pid": 196490, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.020794Z [info     ] 2025-01-27 19:45:01,020 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.020880Z [info     ] 2025-01-27 19:45:01,020 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.025177Z [info     ] 2025-01-27 19:45:01,025 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.004130840301513672, "tags": {"stream": "customers", "pid": 196490, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.025390Z [info     ] 2025-01-27 19:45:01,025 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 196490, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.025526Z [info     ] 2025-01-27 19:45:01,025 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.025636Z [info     ] 2025-01-27 19:45:01,025 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.026561Z [info     ] 2025-01-27 19:45:01,026 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0011076927185058594, "tags": {"stream": "employee_territories", "pid": 196490, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.026691Z [info     ] 2025-01-27 19:45:01,026 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 196490, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.026814Z [info     ] 2025-01-27 19:45:01,026 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.026902Z [info     ] 2025-01-27 19:45:01,026 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.027381Z [info     ] 2025-01-27 19:45:01,027 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0004687309265136719, "tags": {"stream": "employees", "pid": 196490, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.027505Z [info     ] 2025-01-27 19:45:01,027 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "employees", "pid": 196490, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.027633Z [info     ] 2025-01-27 19:45:01,027 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
2025-01-27T22:45:01.027735Z [info     ] 2025-01-27 19:45:01,027 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=c4a4e861-6911-45e2-a9dc-a0b0d3945a6d stdio=stderr string_id=tap-csv
