2025-01-26T23:59:33.256033Z [info     ] 2025-01-26 20:59:33,255 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.256755Z [info     ] 2025-01-26 20:59:33,255 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.260183Z [info     ] 2025-01-26 20:59:33,260 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0037834644317626953, "tags": {"stream": "customers", "pid": 65405, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.260346Z [info     ] 2025-01-26 20:59:33,260 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 65405, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.260483Z [info     ] 2025-01-26 20:59:33,260 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.260575Z [info     ] 2025-01-26 20:59:33,260 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.261872Z [info     ] 2025-01-26 20:59:33,261 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012822151184082031, "tags": {"stream": "employee_territories", "pid": 65405, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.262073Z [info     ] 2025-01-26 20:59:33,261 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 65405, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.262307Z [info     ] 2025-01-26 20:59:33,262 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.262507Z [info     ] 2025-01-26 20:59:33,262 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.263061Z [info     ] 2025-01-26 20:59:33,262 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0006239414215087891, "tags": {"stream": "employees", "pid": 65405, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.263234Z [info     ] 2025-01-26 20:59:33,263 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "employees", "pid": 65405, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.263380Z [info     ] 2025-01-26 20:59:33,263 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.263537Z [info     ] 2025-01-26 20:59:33,263 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.319908Z [info     ] 2025-01-26 20:59:33,319 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.056336402893066406, "tags": {"stream": "order_details", "pid": 65405, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.320241Z [info     ] 2025-01-26 20:59:33,319 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 65405, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.320414Z [info     ] 2025-01-26 20:59:33,320 | INFO     | tap-csv.orders       | Beginning full_table sync of 'orders'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.320554Z [info     ] 2025-01-26 20:59:33,320 | INFO     | tap-csv.orders       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.355204Z [info     ] 2025-01-26 20:59:33,355 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03477764129638672, "tags": {"stream": "orders", "pid": 65405, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.355453Z [info     ] 2025-01-26 20:59:33,355 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "orders", "pid": 65405, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.355547Z [info     ] 2025-01-26 20:59:33,355 | INFO     | tap-csv.products     | Beginning full_table sync of 'products'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.355630Z [info     ] 2025-01-26 20:59:33,355 | INFO     | tap-csv.products     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.358150Z [info     ] 2025-01-26 20:59:33,358 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0025589466094970703, "tags": {"stream": "products", "pid": 65405, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.358281Z [info     ] 2025-01-26 20:59:33,358 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "products", "pid": 65405, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.358384Z [info     ] 2025-01-26 20:59:33,358 | INFO     | tap-csv.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.358570Z [info     ] 2025-01-26 20:59:33,358 | INFO     | tap-csv.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.358784Z [info     ] 2025-01-26 20:59:33,358 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0002868175506591797, "tags": {"stream": "public-categories", "pid": 65405, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.358955Z [info     ] 2025-01-26 20:59:33,358 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 65405, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.359144Z [info     ] 2025-01-26 20:59:33,358 | INFO     | tap-csv.region       | Beginning full_table sync of 'region'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.359334Z [info     ] 2025-01-26 20:59:33,358 | INFO     | tap-csv.region       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.359490Z [info     ] 2025-01-26 20:59:33,359 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00021076202392578125, "tags": {"stream": "region", "pid": 65405, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.359643Z [info     ] 2025-01-26 20:59:33,359 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "region", "pid": 65405, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.359756Z [info     ] 2025-01-26 20:59:33,359 | INFO     | tap-csv.shippers     | Beginning full_table sync of 'shippers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.359862Z [info     ] 2025-01-26 20:59:33,359 | INFO     | tap-csv.shippers     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.360022Z [info     ] 2025-01-26 20:59:33,359 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0003037452697753906, "tags": {"stream": "shippers", "pid": 65405, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.360145Z [info     ] 2025-01-26 20:59:33,359 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 6, "tags": {"stream": "shippers", "pid": 65405, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.360344Z [info     ] 2025-01-26 20:59:33,360 | INFO     | tap-csv.suppliers    | Beginning full_table sync of 'suppliers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.360529Z [info     ] 2025-01-26 20:59:33,360 | INFO     | tap-csv.suppliers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.361758Z [info     ] 2025-01-26 20:59:33,361 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012362003326416016, "tags": {"stream": "suppliers", "pid": 65405, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.362012Z [info     ] 2025-01-26 20:59:33,361 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 29, "tags": {"stream": "suppliers", "pid": 65405, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.362159Z [info     ] 2025-01-26 20:59:33,361 | INFO     | tap-csv.territories  | Beginning full_table sync of 'territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.362288Z [info     ] 2025-01-26 20:59:33,361 | INFO     | tap-csv.territories  | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.363506Z [info     ] 2025-01-26 20:59:33,363 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0014066696166992188, "tags": {"stream": "territories", "pid": 65405, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.363712Z [info     ] 2025-01-26 20:59:33,363 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 53, "tags": {"stream": "territories", "pid": 65405, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.363893Z [info     ] 2025-01-26 20:59:33,363 | INFO     | tap-csv.us_states    | Beginning full_table sync of 'us_states'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.364100Z [info     ] 2025-01-26 20:59:33,363 | INFO     | tap-csv.us_states    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.365422Z [info     ] 2025-01-26 20:59:33,365 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0014812946319580078, "tags": {"stream": "us_states", "pid": 65405, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.365629Z [info     ] 2025-01-26 20:59:33,365 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 51, "tags": {"stream": "us_states", "pid": 65405, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=tap-csv
2025-01-26T23:59:33.482255Z [info     ] 2025-01-26 20:59:33,482 | INFO     | target-postgres      | Target 'target-postgres' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=target-postgres
2025-01-26T23:59:33.482484Z [info     ] 2025-01-26 20:59:33,482 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=target-postgres
2025-01-26T23:59:33.482616Z [info     ] 2025-01-26 20:59:33,482 | INFO     | target-postgres.customers | Initializing target sink for stream 'customers'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=target-postgres
2025-01-26T23:59:33.816082Z [info     ] 2025-01-26 20:59:33,815 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=target-postgres
2025-01-26T23:59:33.816353Z [info     ] 2025-01-26 20:59:33,816 | INFO     | target-postgres.employee_territories | Initializing target sink for stream 'employee_territories'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=target-postgres
2025-01-26T23:59:34.012283Z [info     ] 2025-01-26 20:59:34,012 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=target-postgres
2025-01-26T23:59:34.012510Z [info     ] 2025-01-26 20:59:34,012 | INFO     | target-postgres.employees | Initializing target sink for stream 'employees'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=target-postgres
2025-01-26T23:59:34.195178Z [info     ] 2025-01-26 20:59:34,194 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=target-postgres
2025-01-26T23:59:34.195537Z [info     ] 2025-01-26 20:59:34,195 | INFO     | target-postgres.order_details | Initializing target sink for stream 'order_details'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=target-postgres
2025-01-26T23:59:34.457336Z [info     ] 2025-01-26 20:59:34,457 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=target-postgres
2025-01-26T23:59:34.457635Z [info     ] 2025-01-26 20:59:34,457 | INFO     | target-postgres.orders | Initializing target sink for stream 'orders'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=deb9750f-8bd0-471f-b6f1-75ab92a6379c stdio=stderr string_id=target-postgres
