2025-01-27T17:52:47.613342Z [info     ] 2025-01-27 14:52:47,613 | INFO     | tap-csv.categories   | Beginning full_table sync of 'categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e080bcf9-642e-4d06-b454-6ba6e65df3d6 stdio=stderr string_id=tap-csv
2025-01-27T17:52:47.613913Z [info     ] 2025-01-27 14:52:47,613 | INFO     | tap-csv.categories   | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e080bcf9-642e-4d06-b454-6ba6e65df3d6 stdio=stderr string_id=tap-csv
2025-01-27T17:52:47.614252Z [info     ] 2025-01-27 14:52:47,614 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0005705356597900391, "tags": {"stream": "categories", "pid": 101128, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e080bcf9-642e-4d06-b454-6ba6e65df3d6 stdio=stderr string_id=tap-csv
2025-01-27T17:52:47.614473Z [info     ] 2025-01-27 14:52:47,614 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "categories", "pid": 101128, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e080bcf9-642e-4d06-b454-6ba6e65df3d6 stdio=stderr string_id=tap-csv
2025-01-27T17:52:47.614648Z [info     ] 2025-01-27 14:52:47,614 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e080bcf9-642e-4d06-b454-6ba6e65df3d6 stdio=stderr string_id=tap-csv
2025-01-27T17:52:47.614843Z [info     ] 2025-01-27 14:52:47,614 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e080bcf9-642e-4d06-b454-6ba6e65df3d6 stdio=stderr string_id=tap-csv
2025-01-27T17:52:47.618115Z [info     ] 2025-01-27 14:52:47,618 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0034942626953125, "tags": {"stream": "customers", "pid": 101128, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e080bcf9-642e-4d06-b454-6ba6e65df3d6 stdio=stderr string_id=tap-csv
2025-01-27T17:52:47.618262Z [info     ] 2025-01-27 14:52:47,618 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 101128, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e080bcf9-642e-4d06-b454-6ba6e65df3d6 stdio=stderr string_id=tap-csv
2025-01-27T17:52:47.618369Z [info     ] 2025-01-27 14:52:47,618 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e080bcf9-642e-4d06-b454-6ba6e65df3d6 stdio=stderr string_id=tap-csv
2025-01-27T17:52:47.618474Z [info     ] 2025-01-27 14:52:47,618 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e080bcf9-642e-4d06-b454-6ba6e65df3d6 stdio=stderr string_id=tap-csv
2025-01-27T17:52:47.619569Z [info     ] 2025-01-27 14:52:47,619 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0011477470397949219, "tags": {"stream": "employee_territories", "pid": 101128, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e080bcf9-642e-4d06-b454-6ba6e65df3d6 stdio=stderr string_id=tap-csv
