2025-01-27T18:21:28.845285Z [info     ] 2025-01-27 15:21:28,845 | INFO     | tap-csv.categories   | Beginning full_table sync of 'categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e82feb86-ec94-46cb-9fd8-a9fcd09256f6 stdio=stderr string_id=tap-csv
2025-01-27T18:21:28.845824Z [info     ] 2025-01-27 15:21:28,845 | INFO     | tap-csv.categories   | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e82feb86-ec94-46cb-9fd8-a9fcd09256f6 stdio=stderr string_id=tap-csv
2025-01-27T18:21:28.846081Z [info     ] 2025-01-27 15:21:28,845 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0005230903625488281, "tags": {"stream": "categories", "pid": 109666, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e82feb86-ec94-46cb-9fd8-a9fcd09256f6 stdio=stderr string_id=tap-csv
2025-01-27T18:21:28.846247Z [info     ] 2025-01-27 15:21:28,846 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "categories", "pid": 109666, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e82feb86-ec94-46cb-9fd8-a9fcd09256f6 stdio=stderr string_id=tap-csv
2025-01-27T18:21:28.846371Z [info     ] 2025-01-27 15:21:28,846 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e82feb86-ec94-46cb-9fd8-a9fcd09256f6 stdio=stderr string_id=tap-csv
2025-01-27T18:21:28.846521Z [info     ] 2025-01-27 15:21:28,846 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e82feb86-ec94-46cb-9fd8-a9fcd09256f6 stdio=stderr string_id=tap-csv
2025-01-27T18:21:28.849810Z [info     ] 2025-01-27 15:21:28,849 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0032224655151367188, "tags": {"stream": "customers", "pid": 109666, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e82feb86-ec94-46cb-9fd8-a9fcd09256f6 stdio=stderr string_id=tap-csv
2025-01-27T18:21:28.850000Z [info     ] 2025-01-27 15:21:28,849 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 109666, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e82feb86-ec94-46cb-9fd8-a9fcd09256f6 stdio=stderr string_id=tap-csv
2025-01-27T18:21:28.850097Z [info     ] 2025-01-27 15:21:28,849 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e82feb86-ec94-46cb-9fd8-a9fcd09256f6 stdio=stderr string_id=tap-csv
2025-01-27T18:21:28.850183Z [info     ] 2025-01-27 15:21:28,849 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e82feb86-ec94-46cb-9fd8-a9fcd09256f6 stdio=stderr string_id=tap-csv
2025-01-27T18:21:28.851325Z [info     ] 2025-01-27 15:21:28,851 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0011997222900390625, "tags": {"stream": "employee_territories", "pid": 109666, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=e82feb86-ec94-46cb-9fd8-a9fcd09256f6 stdio=stderr string_id=tap-csv
