2025-01-27T00:00:43.114004Z [info     ] 2025-01-26 21:00:43,113 | INFO     | tap-csv.customers    | Beginning full_table sync of 'customers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.114468Z [info     ] 2025-01-26 21:00:43,113 | INFO     | tap-csv.customers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.117578Z [info     ] 2025-01-26 21:00:43,117 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.003244161605834961, "tags": {"stream": "customers", "pid": 66111, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.117741Z [info     ] 2025-01-26 21:00:43,117 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "customers", "pid": 66111, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.117851Z [info     ] 2025-01-26 21:00:43,117 | INFO     | tap-csv.employee_territories | Beginning full_table sync of 'employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.117957Z [info     ] 2025-01-26 21:00:43,117 | INFO     | tap-csv.employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.119077Z [info     ] 2025-01-26 21:00:43,119 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012197494506835938, "tags": {"stream": "employee_territories", "pid": 66111, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.119211Z [info     ] 2025-01-26 21:00:43,119 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "employee_territories", "pid": 66111, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.119323Z [info     ] 2025-01-26 21:00:43,119 | INFO     | tap-csv.employees    | Beginning full_table sync of 'employees'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.119408Z [info     ] 2025-01-26 21:00:43,119 | INFO     | tap-csv.employees    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.120347Z [info     ] 2025-01-26 21:00:43,120 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0007417201995849609, "tags": {"stream": "employees", "pid": 66111, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.120519Z [info     ] 2025-01-26 21:00:43,120 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "employees", "pid": 66111, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.120618Z [info     ] 2025-01-26 21:00:43,120 | INFO     | tap-csv.order_details | Beginning full_table sync of 'order_details'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.120729Z [info     ] 2025-01-26 21:00:43,120 | INFO     | tap-csv.order_details | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.177950Z [info     ] 2025-01-26 21:00:43,177 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05722832679748535, "tags": {"stream": "order_details", "pid": 66111, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.178198Z [info     ] 2025-01-26 21:00:43,177 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 66111, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.178325Z [info     ] 2025-01-26 21:00:43,178 | INFO     | tap-csv.orders       | Beginning full_table sync of 'orders'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.178429Z [info     ] 2025-01-26 21:00:43,178 | INFO     | tap-csv.orders       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.210528Z [info     ] 2025-01-26 21:00:43,210 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03213143348693848, "tags": {"stream": "orders", "pid": 66111, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.210762Z [info     ] 2025-01-26 21:00:43,210 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "orders", "pid": 66111, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.210856Z [info     ] 2025-01-26 21:00:43,210 | INFO     | tap-csv.products     | Beginning full_table sync of 'products'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.210940Z [info     ] 2025-01-26 21:00:43,210 | INFO     | tap-csv.products     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.213371Z [info     ] 2025-01-26 21:00:43,213 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0024728775024414062, "tags": {"stream": "products", "pid": 66111, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.213537Z [info     ] 2025-01-26 21:00:43,213 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "products", "pid": 66111, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.213637Z [info     ] 2025-01-26 21:00:43,213 | INFO     | tap-csv.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.213748Z [info     ] 2025-01-26 21:00:43,213 | INFO     | tap-csv.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.214045Z [info     ] 2025-01-26 21:00:43,213 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0003647804260253906, "tags": {"stream": "public-categories", "pid": 66111, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.214167Z [info     ] 2025-01-26 21:00:43,214 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 66111, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.214275Z [info     ] 2025-01-26 21:00:43,214 | INFO     | tap-csv.region       | Beginning full_table sync of 'region'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.214364Z [info     ] 2025-01-26 21:00:43,214 | INFO     | tap-csv.region       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.214583Z [info     ] 2025-01-26 21:00:43,214 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0002377033233642578, "tags": {"stream": "region", "pid": 66111, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.214697Z [info     ] 2025-01-26 21:00:43,214 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "region", "pid": 66111, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.214804Z [info     ] 2025-01-26 21:00:43,214 | INFO     | tap-csv.shippers     | Beginning full_table sync of 'shippers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.214891Z [info     ] 2025-01-26 21:00:43,214 | INFO     | tap-csv.shippers     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.215169Z [info     ] 2025-01-26 21:00:43,215 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00028586387634277344, "tags": {"stream": "shippers", "pid": 66111, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.215290Z [info     ] 2025-01-26 21:00:43,215 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 6, "tags": {"stream": "shippers", "pid": 66111, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.215390Z [info     ] 2025-01-26 21:00:43,215 | INFO     | tap-csv.suppliers    | Beginning full_table sync of 'suppliers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.215476Z [info     ] 2025-01-26 21:00:43,215 | INFO     | tap-csv.suppliers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.216659Z [info     ] 2025-01-26 21:00:43,216 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0011377334594726562, "tags": {"stream": "suppliers", "pid": 66111, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.216865Z [info     ] 2025-01-26 21:00:43,216 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 29, "tags": {"stream": "suppliers", "pid": 66111, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.217002Z [info     ] 2025-01-26 21:00:43,216 | INFO     | tap-csv.territories  | Beginning full_table sync of 'territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.217131Z [info     ] 2025-01-26 21:00:43,216 | INFO     | tap-csv.territories  | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.218838Z [info     ] 2025-01-26 21:00:43,218 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0017123222351074219, "tags": {"stream": "territories", "pid": 66111, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.219352Z [info     ] 2025-01-26 21:00:43,218 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 53, "tags": {"stream": "territories", "pid": 66111, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.219569Z [info     ] 2025-01-26 21:00:43,218 | INFO     | tap-csv.us_states    | Beginning full_table sync of 'us_states'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
2025-01-27T00:00:43.219734Z [info     ] 2025-01-26 21:00:43,218 | INFO     | tap-csv.us_states    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=fbb6215c-07fb-4ea6-947f-4a8afcfebfef stdio=stderr string_id=tap-csv
