2025-01-26T20:56:30.430025Z [info     ] 2025-01-26 17:56:30,429 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=target-csv
2025-01-26T20:56:30.523131Z [info     ] 2025-01-26 17:56:30,522 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=tap-postgres
2025-01-26T20:56:30.523428Z [info     ] 2025-01-26 17:56:30,523 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=tap-postgres
2025-01-26T20:56:30.523814Z [info     ] 2025-01-26 17:56:30,523 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=target-csv
2025-01-26T20:56:30.524022Z [info     ] 2025-01-26 17:56:30,523 | INFO     | target-csv._stream_name__.replace('public-', '') | Initializing target sink for stream '_stream_name__.replace('public-', '')'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=target-csv
2025-01-26T20:56:30.525909Z [info     ] 2025-01-26 17:56:30,525 | INFO     | target-csv._stream_name__.replace('public-', '') | Setting up _stream_name__.replace('public-', '') cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=target-csv
2025-01-26T20:56:30.555681Z [info     ] 2025-01-26 17:56:30,555 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03221726417541504, "tags": {"stream": "public-categories", "pid": 27799, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=tap-postgres
2025-01-26T20:56:30.555932Z [info     ] 2025-01-26 17:56:30,555 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 27799, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=tap-postgres
2025-01-26T20:56:30.556070Z [info     ] 2025-01-26 17:56:30,555 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=tap-postgres
2025-01-26T20:56:30.556180Z [info     ] 2025-01-26 17:56:30,555 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=tap-postgres
2025-01-26T20:56:30.556477Z [info     ] 2025-01-26 17:56:30,556 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.replace('public-', '')'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=target-csv
2025-01-26T20:56:30.556623Z [info     ] 2025-01-26 17:56:30,556 | INFO     | target-csv           | Schema or key properties for '_stream_name__.replace('public-', '')' stream have changed. Initializing a new '_stream_name__.replace('public-', '')' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=target-csv
2025-01-26T20:56:30.556744Z [info     ] 2025-01-26 17:56:30,556 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=target-csv
2025-01-26T20:56:30.556853Z [info     ] 2025-01-26 17:56:30,556 | INFO     | target-csv._stream_name__.replace('public-', '') | Initializing target sink for stream '_stream_name__.replace('public-', '')'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=target-csv
2025-01-26T20:56:30.557850Z [info     ] 2025-01-26 17:56:30,557 | INFO     | target-csv._stream_name__.replace('public-', '') | Setting up _stream_name__.replace('public-', '') cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=target-csv
2025-01-26T20:56:30.560071Z [info     ] 2025-01-26 17:56:30,559 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=tap-postgres
2025-01-26T20:56:30.560226Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=tap-postgres
2025-01-26T20:56:30.560337Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=tap-postgres
2025-01-26T20:56:30.560482Z [info     ] 2025-01-26 17:56:30,560 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=tap-postgres
2025-01-26T20:56:30.560610Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=tap-postgres
2025-01-26T20:56:30.560712Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=02337adb-4833-4fbc-a57b-1c9ebca3ddf1 stdio=stderr string_id=tap-postgres
