2025-01-26T19:56:18.965436Z [warning  ] No state was found, complete import.
2025-01-26T19:56:19.863818Z [info     ] 2025-01-26 16:56:19,863 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=target-csv
2025-01-26T19:56:19.877972Z [info     ] 2025-01-26 16:56:19,877 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=tap-postgres
2025-01-26T19:56:19.878282Z [info     ] 2025-01-26 16:56:19,877 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=tap-postgres
2025-01-26T19:56:19.878713Z [info     ] 2025-01-26 16:56:19,878 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=target-csv
2025-01-26T19:56:19.878866Z [info     ] 2025-01-26 16:56:19,878 | INFO     | target-csv.public-categories | Initializing target sink for stream 'public-categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=target-csv
2025-01-26T19:56:19.880991Z [info     ] 2025-01-26 16:56:19,880 | INFO     | target-csv.public-categories | Setting up public-categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=target-csv
2025-01-26T19:56:19.911085Z [info     ] 2025-01-26 16:56:19,910 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03269219398498535, "tags": {"stream": "public-categories", "pid": 12966, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=tap-postgres
2025-01-26T19:56:19.911317Z [info     ] 2025-01-26 16:56:19,911 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 12966, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=tap-postgres
2025-01-26T19:56:19.911432Z [info     ] 2025-01-26 16:56:19,911 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=tap-postgres
2025-01-26T19:56:19.911543Z [info     ] 2025-01-26 16:56:19,911 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=tap-postgres
2025-01-26T19:56:19.911850Z [info     ] 2025-01-26 16:56:19,911 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=target-csv
2025-01-26T19:56:19.911976Z [info     ] 2025-01-26 16:56:19,911 | INFO     | target-csv.public-customer_customer_demo | Initializing target sink for stream 'public-customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=target-csv
2025-01-26T19:56:19.913262Z [info     ] 2025-01-26 16:56:19,913 | INFO     | target-csv.public-customer_customer_demo | Setting up public-customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=target-csv
2025-01-26T19:56:19.915643Z [info     ] 2025-01-26 16:56:19,915 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=tap-postgres
2025-01-26T19:56:19.915800Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=tap-postgres
2025-01-26T19:56:19.915910Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=0616f668-9bb8-43e9-a008-222c24f7738a stdio=stderr string_id=tap-postgres
