2025-01-26T23:56:42.673414Z [info     ] 2025-01-26 20:56:42,673 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=07127b55-e9a5-44b2-be99-030f9729ebd8 stdio=stderr string_id=target-csv
2025-01-26T23:56:42.721507Z [info     ] 2025-01-26 20:56:42,721 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=07127b55-e9a5-44b2-be99-030f9729ebd8 stdio=stderr string_id=tap-postgres
2025-01-26T23:56:42.722234Z [info     ] 2025-01-26 20:56:42,721 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=07127b55-e9a5-44b2-be99-030f9729ebd8 stdio=stderr string_id=tap-postgres
2025-01-26T23:56:42.722946Z [info     ] 2025-01-26 20:56:42,722 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=07127b55-e9a5-44b2-be99-030f9729ebd8 stdio=stderr string_id=target-csv
2025-01-26T23:56:42.723201Z [info     ] 2025-01-26 20:56:42,722 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=07127b55-e9a5-44b2-be99-030f9729ebd8 stdio=stderr string_id=target-csv
2025-01-26T23:56:42.725051Z [info     ] 2025-01-26 20:56:42,724 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=07127b55-e9a5-44b2-be99-030f9729ebd8 stdio=stderr string_id=target-csv
2025-01-26T23:56:42.761752Z [info     ] 2025-01-26 20:56:42,761 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03957009315490723, "tags": {"stream": "public-categories", "pid": 64493, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=07127b55-e9a5-44b2-be99-030f9729ebd8 stdio=stderr string_id=tap-postgres
2025-01-26T23:56:42.761993Z [info     ] 2025-01-26 20:56:42,761 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 64493, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=07127b55-e9a5-44b2-be99-030f9729ebd8 stdio=stderr string_id=tap-postgres
2025-01-26T23:56:42.762157Z [info     ] 2025-01-26 20:56:42,761 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=07127b55-e9a5-44b2-be99-030f9729ebd8 stdio=stderr string_id=tap-postgres
2025-01-26T23:56:42.762276Z [info     ] 2025-01-26 20:56:42,761 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=07127b55-e9a5-44b2-be99-030f9729ebd8 stdio=stderr string_id=tap-postgres
2025-01-26T23:56:42.762585Z [info     ] 2025-01-26 20:56:42,762 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=07127b55-e9a5-44b2-be99-030f9729ebd8 stdio=stderr string_id=target-csv
