2025-01-27T00:50:57.950670Z [info     ] 2025-01-26 21:50:57,950 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=target-csv
2025-01-27T00:50:58.002026Z [info     ] 2025-01-26 21:50:58,001 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=tap-postgres
2025-01-27T00:50:58.002506Z [info     ] 2025-01-26 21:50:58,001 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=tap-postgres
2025-01-27T00:50:58.003311Z [info     ] 2025-01-26 21:50:58,003 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=target-csv
2025-01-27T00:50:58.003688Z [info     ] 2025-01-26 21:50:58,003 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=target-csv
2025-01-27T00:50:58.006710Z [info     ] 2025-01-26 21:50:58,006 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=target-csv
2025-01-27T00:50:58.046853Z [info     ] 2025-01-26 21:50:58,046 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.04430890083312988, "tags": {"stream": "public-categories", "pid": 83352, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=tap-postgres
2025-01-27T00:50:58.047159Z [info     ] 2025-01-26 21:50:58,046 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 83352, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=tap-postgres
2025-01-27T00:50:58.047252Z [info     ] 2025-01-26 21:50:58,047 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=tap-postgres
2025-01-27T00:50:58.047442Z [info     ] 2025-01-26 21:50:58,047 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=tap-postgres
2025-01-27T00:50:58.047835Z [info     ] 2025-01-26 21:50:58,047 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=target-csv
2025-01-27T00:50:58.048010Z [info     ] 2025-01-26 21:50:58,047 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=target-csv
2025-01-27T00:50:58.049765Z [info     ] 2025-01-26 21:50:58,049 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=target-csv
2025-01-27T00:50:58.052481Z [info     ] 2025-01-26 21:50:58,052 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=tap-postgres
2025-01-27T00:50:58.052668Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=tap-postgres
2025-01-27T00:50:58.052763Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=11bec2cc-7d6f-47cb-9071-d4520dd55d36 stdio=stderr string_id=tap-postgres
