2025-01-27T18:31:18.828293Z [info     ] 2025-01-27 15:31:18,828 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=19ef1980-b121-44a7-bcc2-fa828c5ada16 stdio=stderr string_id=target-csv
2025-01-27T18:31:18.851523Z [info     ] 2025-01-27 15:31:18,851 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=19ef1980-b121-44a7-bcc2-fa828c5ada16 stdio=stderr string_id=tap-postgres
2025-01-27T18:31:18.851807Z [info     ] 2025-01-27 15:31:18,851 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=19ef1980-b121-44a7-bcc2-fa828c5ada16 stdio=stderr string_id=tap-postgres
2025-01-27T18:31:18.852175Z [info     ] 2025-01-27 15:31:18,852 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=19ef1980-b121-44a7-bcc2-fa828c5ada16 stdio=stderr string_id=target-csv
2025-01-27T18:31:18.852317Z [info     ] 2025-01-27 15:31:18,852 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=19ef1980-b121-44a7-bcc2-fa828c5ada16 stdio=stderr string_id=target-csv
2025-01-27T18:31:18.854228Z [info     ] 2025-01-27 15:31:18,854 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=19ef1980-b121-44a7-bcc2-fa828c5ada16 stdio=stderr string_id=target-csv
2025-01-27T18:31:18.890215Z [info     ] 2025-01-27 15:31:18,889 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03825640678405762, "tags": {"stream": "public-categories", "pid": 115352, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=19ef1980-b121-44a7-bcc2-fa828c5ada16 stdio=stderr string_id=tap-postgres
2025-01-27T18:31:18.890553Z [info     ] 2025-01-27 15:31:18,890 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 115352, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=19ef1980-b121-44a7-bcc2-fa828c5ada16 stdio=stderr string_id=tap-postgres
2025-01-27T18:31:18.890704Z [info     ] 2025-01-27 15:31:18,890 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=19ef1980-b121-44a7-bcc2-fa828c5ada16 stdio=stderr string_id=tap-postgres
2025-01-27T18:31:18.890813Z [info     ] 2025-01-27 15:31:18,890 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=19ef1980-b121-44a7-bcc2-fa828c5ada16 stdio=stderr string_id=tap-postgres
2025-01-27T18:31:18.891210Z [info     ] 2025-01-27 15:31:18,891 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=19ef1980-b121-44a7-bcc2-fa828c5ada16 stdio=stderr string_id=target-csv
2025-01-27T18:31:18.891379Z [info     ] 2025-01-27 15:31:18,891 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=19ef1980-b121-44a7-bcc2-fa828c5ada16 stdio=stderr string_id=target-csv
2025-01-27T18:31:18.892612Z [info     ] 2025-01-27 15:31:18,892 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=19ef1980-b121-44a7-bcc2-fa828c5ada16 stdio=stderr string_id=target-csv
