2025-01-27T22:02:19.610931Z [info     ] 2025-01-27 19:02:19,610 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=1ed74c63-8559-42cb-bd5c-1eaa24eca99f stdio=stderr string_id=target-csv
2025-01-27T22:02:19.649878Z [info     ] 2025-01-27 19:02:19,649 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=1ed74c63-8559-42cb-bd5c-1eaa24eca99f stdio=stderr string_id=tap-postgres
2025-01-27T22:02:19.650156Z [info     ] 2025-01-27 19:02:19,649 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=1ed74c63-8559-42cb-bd5c-1eaa24eca99f stdio=stderr string_id=tap-postgres
2025-01-27T22:02:19.650500Z [info     ] 2025-01-27 19:02:19,650 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=1ed74c63-8559-42cb-bd5c-1eaa24eca99f stdio=stderr string_id=target-csv
2025-01-27T22:02:19.650646Z [info     ] 2025-01-27 19:02:19,650 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=1ed74c63-8559-42cb-bd5c-1eaa24eca99f stdio=stderr string_id=target-csv
2025-01-27T22:02:19.652828Z [info     ] 2025-01-27 19:02:19,652 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=1ed74c63-8559-42cb-bd5c-1eaa24eca99f stdio=stderr string_id=target-csv
2025-01-27T22:02:19.681787Z [info     ] 2025-01-27 19:02:19,681 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03155326843261719, "tags": {"stream": "public-categories", "pid": 183619, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=1ed74c63-8559-42cb-bd5c-1eaa24eca99f stdio=stderr string_id=tap-postgres
2025-01-27T22:02:19.682016Z [info     ] 2025-01-27 19:02:19,681 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 183619, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=1ed74c63-8559-42cb-bd5c-1eaa24eca99f stdio=stderr string_id=tap-postgres
2025-01-27T22:02:19.682119Z [info     ] 2025-01-27 19:02:19,681 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=1ed74c63-8559-42cb-bd5c-1eaa24eca99f stdio=stderr string_id=tap-postgres
2025-01-27T22:02:19.682224Z [info     ] 2025-01-27 19:02:19,681 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=1ed74c63-8559-42cb-bd5c-1eaa24eca99f stdio=stderr string_id=tap-postgres
2025-01-27T22:02:19.682564Z [info     ] 2025-01-27 19:02:19,682 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=1ed74c63-8559-42cb-bd5c-1eaa24eca99f stdio=stderr string_id=target-csv
