2025-01-26T21:13:24.091688Z [info     ] 2025-01-26 18:13:24,091 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.092153Z [info     ] 2025-01-26 18:13:24,091 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.107036Z [info     ] 2025-01-26 18:13:24,106 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.107309Z [info     ] 2025-01-26 18:13:24,106 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.107444Z [info     ] 2025-01-26 18:13:24,107 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.108962Z [info     ] 2025-01-26 18:13:24,108 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.123820Z [info     ] 2025-01-26 18:13:24,123 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03174781799316406, "tags": {"stream": "public-categories", "pid": 31614, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.124113Z [info     ] 2025-01-26 18:13:24,123 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 31614, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.124258Z [info     ] 2025-01-26 18:13:24,123 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.124376Z [info     ] 2025-01-26 18:13:24,124 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.124705Z [info     ] 2025-01-26 18:13:24,124 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.124888Z [info     ] 2025-01-26 18:13:24,124 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.125045Z [info     ] 2025-01-26 18:13:24,124 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.125210Z [info     ] 2025-01-26 18:13:24,124 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.126276Z [info     ] 2025-01-26 18:13:24,126 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.128750Z [info     ] 2025-01-26 18:13:24,128 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.128868Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.128968Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.129101Z [info     ] 2025-01-26 18:13:24,128 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.129221Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.129320Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.132676Z [info     ] 2025-01-26 18:13:24,132 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0083770751953125, "tags": {"stream": "public-customer_customer_demo", "pid": 31614, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.132842Z [info     ] 2025-01-26 18:13:24,132 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 31614, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.132940Z [info     ] 2025-01-26 18:13:24,132 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.133081Z [info     ] 2025-01-26 18:13:24,132 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.133381Z [info     ] 2025-01-26 18:13:24,133 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.133496Z [info     ] 2025-01-26 18:13:24,133 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.133584Z [info     ] 2025-01-26 18:13:24,133 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.133731Z [info     ] 2025-01-26 18:13:24,133 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.134727Z [info     ] 2025-01-26 18:13:24,134 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.140878Z [info     ] 2025-01-26 18:13:24,140 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00770258903503418, "tags": {"stream": "public-customer_demographics", "pid": 31614, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.141150Z [info     ] 2025-01-26 18:13:24,140 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 31614, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.141315Z [info     ] 2025-01-26 18:13:24,141 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.141429Z [info     ] 2025-01-26 18:13:24,141 | INFO     | tap-postgres.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.141757Z [info     ] 2025-01-26 18:13:24,141 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.141884Z [info     ] 2025-01-26 18:13:24,141 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.141973Z [info     ] 2025-01-26 18:13:24,141 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.142085Z [info     ] 2025-01-26 18:13:24,141 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.145681Z [info     ] 2025-01-26 18:13:24,145 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.155107Z [info     ] 2025-01-26 18:13:24,154 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.013640880584716797, "tags": {"stream": "public-customers", "pid": 31614, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.155361Z [info     ] 2025-01-26 18:13:24,155 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "public-customers", "pid": 31614, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.155477Z [info     ] 2025-01-26 18:13:24,155 | INFO     | tap-postgres.public-employee_territories | Beginning full_table sync of 'public-employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.155586Z [info     ] 2025-01-26 18:13:24,155 | INFO     | tap-postgres.public-employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=tap-postgres
2025-01-26T21:13:24.156697Z [info     ] 2025-01-26 18:13:24,156 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.156833Z [info     ] 2025-01-26 18:13:24,156 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
2025-01-26T21:13:24.156928Z [info     ] 2025-01-26 18:13:24,156 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=39b091d8-039d-4ca7-8d40-e5ba351f22a4 stdio=stderr string_id=target-csv
