2025-01-26T21:04:59.357918Z [info     ] 2025-01-26 18:04:59,357 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.387015Z [info     ] 2025-01-26 18:04:59,386 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.387298Z [info     ] 2025-01-26 18:04:59,386 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.387674Z [info     ] 2025-01-26 18:04:59,387 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.387852Z [info     ] 2025-01-26 18:04:59,387 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.389916Z [info     ] 2025-01-26 18:04:59,389 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.419918Z [info     ] 2025-01-26 18:04:59,419 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.032556772232055664, "tags": {"stream": "public-categories", "pid": 29892, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.420146Z [info     ] 2025-01-26 18:04:59,419 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 29892, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.420241Z [info     ] 2025-01-26 18:04:59,420 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.420321Z [info     ] 2025-01-26 18:04:59,420 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.420624Z [info     ] 2025-01-26 18:04:59,420 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.420757Z [info     ] 2025-01-26 18:04:59,420 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.421821Z [info     ] 2025-01-26 18:04:59,421 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.424527Z [info     ] 2025-01-26 18:04:59,424 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.424646Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.424769Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.424970Z [info     ] 2025-01-26 18:04:59,424 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.425104Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.425195Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.428384Z [info     ] 2025-01-26 18:04:59,428 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.007986068725585938, "tags": {"stream": "public-customer_customer_demo", "pid": 29892, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.428562Z [info     ] 2025-01-26 18:04:59,428 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 29892, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.428703Z [info     ] 2025-01-26 18:04:59,428 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.428832Z [info     ] 2025-01-26 18:04:59,428 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.429002Z [info     ] 2025-01-26 18:04:59,428 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.429163Z [info     ] 2025-01-26 18:04:59,429 | INFO     | target-csv.customer_demographics | Initializing target sink for stream 'customer_demographics'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.430364Z [info     ] 2025-01-26 18:04:59,430 | INFO     | target-csv.customer_demographics | Setting up customer_demographics cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.436785Z [info     ] 2025-01-26 18:04:59,436 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.007955312728881836, "tags": {"stream": "public-customer_demographics", "pid": 29892, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.437010Z [info     ] 2025-01-26 18:04:59,436 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 29892, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.437170Z [info     ] 2025-01-26 18:04:59,436 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.437276Z [info     ] 2025-01-26 18:04:59,436 | INFO     | tap-postgres.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.437634Z [info     ] 2025-01-26 18:04:59,437 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.437769Z [info     ] 2025-01-26 18:04:59,437 | INFO     | target-csv.customers | Initializing target sink for stream 'customers'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.441411Z [info     ] 2025-01-26 18:04:59,441 | INFO     | target-csv.customers | Setting up customers cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.450817Z [info     ] 2025-01-26 18:04:59,450 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.01348423957824707, "tags": {"stream": "public-customers", "pid": 29892, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.451085Z [info     ] 2025-01-26 18:04:59,450 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "public-customers", "pid": 29892, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.451242Z [info     ] 2025-01-26 18:04:59,450 | INFO     | tap-postgres.public-employee_territories | Beginning full_table sync of 'public-employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.451373Z [info     ] 2025-01-26 18:04:59,451 | INFO     | tap-postgres.public-employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.452576Z [info     ] 2025-01-26 18:04:59,452 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.452736Z [info     ] 2025-01-26 18:04:59,452 | INFO     | target-csv.employee_territories | Initializing target sink for stream 'employee_territories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.454058Z [info     ] 2025-01-26 18:04:59,453 | INFO     | target-csv.employee_territories | Setting up employee_territories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.461846Z [info     ] 2025-01-26 18:04:59,461 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.010553836822509766, "tags": {"stream": "public-employee_territories", "pid": 29892, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.462091Z [info     ] 2025-01-26 18:04:59,461 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "public-employee_territories", "pid": 29892, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.462259Z [info     ] 2025-01-26 18:04:59,462 | INFO     | tap-postgres.public-employees | Beginning full_table sync of 'public-employees'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.462375Z [info     ] 2025-01-26 18:04:59,462 | INFO     | tap-postgres.public-employees | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.462742Z [info     ] 2025-01-26 18:04:59,462 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.462887Z [info     ] 2025-01-26 18:04:59,462 | INFO     | target-csv.employees | Initializing target sink for stream 'employees'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.469554Z [info     ] 2025-01-26 18:04:59,469 | INFO     | target-csv.employees | Setting up employees cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.476658Z [info     ] 2025-01-26 18:04:59,476 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.014064550399780273, "tags": {"stream": "public-employees", "pid": 29892, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.477041Z [info     ] 2025-01-26 18:04:59,476 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "public-employees", "pid": 29892, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.477241Z [info     ] 2025-01-26 18:04:59,476 | INFO     | tap-postgres.public-orders | Beginning full_table sync of 'public-orders'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.477363Z [info     ] 2025-01-26 18:04:59,477 | INFO     | tap-postgres.public-orders | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.477842Z [info     ] 2025-01-26 18:04:59,477 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.478021Z [info     ] 2025-01-26 18:04:59,477 | INFO     | target-csv.orders    | Initializing target sink for stream 'orders'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.482629Z [info     ] 2025-01-26 18:04:59,482 | INFO     | target-csv.orders    | Setting up orders cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=target-csv
2025-01-26T21:04:59.530934Z [info     ] 2025-01-26 18:04:59,530 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05339980125427246, "tags": {"stream": "public-orders", "pid": 29892, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.531190Z [info     ] 2025-01-26 18:04:59,530 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "public-orders", "pid": 29892, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.531346Z [info     ] 2025-01-26 18:04:59,531 | INFO     | tap-postgres.public-products | Beginning full_table sync of 'public-products'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.531514Z [info     ] 2025-01-26 18:04:59,531 | INFO     | tap-postgres.public-products | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.543844Z [info     ] 2025-01-26 18:04:59,543 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.01238107681274414, "tags": {"stream": "public-products", "pid": 29892, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.544078Z [info     ] 2025-01-26 18:04:59,543 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "public-products", "pid": 29892, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.544171Z [info     ] 2025-01-26 18:04:59,543 | INFO     | tap-postgres.public-region | Beginning full_table sync of 'public-region'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.544252Z [info     ] 2025-01-26 18:04:59,544 | INFO     | tap-postgres.public-region | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:59.548883Z [info     ] 2025-01-26 18:04:59,548 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'region_description' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=4a1ce8e8-76af-4580-8b93-da94fa067c95 stdio=stderr string_id=tap-postgres
