2025-01-27T12:40:06.631787Z [info     ] 2025-01-27 09:40:06,631 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.659502Z [info     ] 2025-01-27 09:40:06,659 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.659900Z [info     ] 2025-01-27 09:40:06,659 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.660318Z [info     ] 2025-01-27 09:40:06,660 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.660493Z [info     ] 2025-01-27 09:40:06,660 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.662923Z [info     ] 2025-01-27 09:40:06,662 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.859517Z [info     ] 2025-01-27 09:40:06,858 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.19929194450378418, "tags": {"stream": "public-categories", "pid": 11696, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.860022Z [info     ] 2025-01-27 09:40:06,859 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 11696, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.860228Z [info     ] 2025-01-27 09:40:06,859 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.860417Z [info     ] 2025-01-27 09:40:06,859 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.861053Z [info     ] 2025-01-27 09:40:06,860 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.861233Z [info     ] 2025-01-27 09:40:06,861 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.863850Z [info     ] 2025-01-27 09:40:06,863 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.868593Z [info     ] 2025-01-27 09:40:06,868 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.868911Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.869040Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.869174Z [info     ] 2025-01-27 09:40:06,868 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.869262Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.869338Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.873590Z [info     ] 2025-01-27 09:40:06,873 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.013134002685546875, "tags": {"stream": "public-customer_customer_demo", "pid": 11696, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.873922Z [info     ] 2025-01-27 09:40:06,873 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 11696, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.874116Z [info     ] 2025-01-27 09:40:06,873 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.874257Z [info     ] 2025-01-27 09:40:06,873 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.874670Z [info     ] 2025-01-27 09:40:06,874 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.874846Z [info     ] 2025-01-27 09:40:06,874 | INFO     | target-csv.customer_demographics | Initializing target sink for stream 'customer_demographics'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.876088Z [info     ] 2025-01-27 09:40:06,876 | INFO     | target-csv.customer_demographics | Setting up customer_demographics cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.883552Z [info     ] 2025-01-27 09:40:06,883 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.009348869323730469, "tags": {"stream": "public-customer_demographics", "pid": 11696, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.883799Z [info     ] 2025-01-27 09:40:06,883 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 11696, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.883957Z [info     ] 2025-01-27 09:40:06,883 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.884079Z [info     ] 2025-01-27 09:40:06,883 | INFO     | tap-postgres.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.884538Z [info     ] 2025-01-27 09:40:06,884 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.884716Z [info     ] 2025-01-27 09:40:06,884 | INFO     | target-csv.customers | Initializing target sink for stream 'customers'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.888653Z [info     ] 2025-01-27 09:40:06,888 | INFO     | target-csv.customers | Setting up customers cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.904902Z [info     ] 2025-01-27 09:40:06,904 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.02070760726928711, "tags": {"stream": "public-customers", "pid": 11696, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.905227Z [info     ] 2025-01-27 09:40:06,904 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "public-customers", "pid": 11696, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.905403Z [info     ] 2025-01-27 09:40:06,905 | INFO     | tap-postgres.public-employee_territories | Beginning full_table sync of 'public-employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.905518Z [info     ] 2025-01-27 09:40:06,905 | INFO     | tap-postgres.public-employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.906992Z [info     ] 2025-01-27 09:40:06,906 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.907145Z [info     ] 2025-01-27 09:40:06,906 | INFO     | target-csv.employee_territories | Initializing target sink for stream 'employee_territories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.908227Z [info     ] 2025-01-27 09:40:06,908 | INFO     | target-csv.employee_territories | Setting up employee_territories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.915794Z [info     ] 2025-01-27 09:40:06,915 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.010391712188720703, "tags": {"stream": "public-employee_territories", "pid": 11696, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.916018Z [info     ] 2025-01-27 09:40:06,915 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "public-employee_territories", "pid": 11696, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.916182Z [info     ] 2025-01-27 09:40:06,916 | INFO     | tap-postgres.public-employees | Beginning full_table sync of 'public-employees'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.916291Z [info     ] 2025-01-27 09:40:06,916 | INFO     | tap-postgres.public-employees | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.916705Z [info     ] 2025-01-27 09:40:06,916 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.916885Z [info     ] 2025-01-27 09:40:06,916 | INFO     | target-csv.employees | Initializing target sink for stream 'employees'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.923014Z [info     ] 2025-01-27 09:40:06,922 | INFO     | target-csv.employees | Setting up employees cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.935595Z [info     ] 2025-01-27 09:40:06,935 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.01899576187133789, "tags": {"stream": "public-employees", "pid": 11696, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.935815Z [info     ] 2025-01-27 09:40:06,935 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "public-employees", "pid": 11696, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.935915Z [info     ] 2025-01-27 09:40:06,935 | INFO     | tap-postgres.public-orders | Beginning full_table sync of 'public-orders'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.936046Z [info     ] 2025-01-27 09:40:06,935 | INFO     | tap-postgres.public-orders | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:06.936376Z [info     ] 2025-01-27 09:40:06,936 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.936555Z [info     ] 2025-01-27 09:40:06,936 | INFO     | target-csv.orders    | Initializing target sink for stream 'orders'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:06.941610Z [info     ] 2025-01-27 09:40:06,941 | INFO     | target-csv.orders    | Setting up orders cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=target-csv
2025-01-27T12:40:07.001274Z [info     ] 2025-01-27 09:40:07,001 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0651094913482666, "tags": {"stream": "public-orders", "pid": 11696, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:07.001643Z [info     ] 2025-01-27 09:40:07,001 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "public-orders", "pid": 11696, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:07.001791Z [info     ] 2025-01-27 09:40:07,001 | INFO     | tap-postgres.public-products | Beginning full_table sync of 'public-products'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:07.001906Z [info     ] 2025-01-27 09:40:07,001 | INFO     | tap-postgres.public-products | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
2025-01-27T12:40:07.014536Z [info     ] 2025-01-27 09:40:07,014 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.012695789337158203, "tags": {"stream": "public-products", "pid": 11696, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5191b981-97d7-4557-bacb-d534f9c6fb1e stdio=stderr string_id=tap-postgres
