2025-01-26T20:59:09.033653Z [info     ] 2025-01-26 17:59:09,033 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.137550Z [info     ] 2025-01-26 17:59:09,137 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.137789Z [info     ] 2025-01-26 17:59:09,137 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.138136Z [info     ] 2025-01-26 17:59:09,138 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.138284Z [info     ] 2025-01-26 17:59:09,138 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.140216Z [info     ] 2025-01-26 17:59:09,140 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.169819Z [info     ] 2025-01-26 17:59:09,169 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.031919240951538086, "tags": {"stream": "public-categories", "pid": 28284, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.170082Z [info     ] 2025-01-26 17:59:09,169 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 28284, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.170195Z [info     ] 2025-01-26 17:59:09,169 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.170308Z [info     ] 2025-01-26 17:59:09,170 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.170616Z [info     ] 2025-01-26 17:59:09,170 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.170762Z [info     ] 2025-01-26 17:59:09,170 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.170879Z [info     ] 2025-01-26 17:59:09,170 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.171033Z [info     ] 2025-01-26 17:59:09,170 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.172194Z [info     ] 2025-01-26 17:59:09,172 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.174846Z [info     ] 2025-01-26 17:59:09,174 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.175010Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.175118Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.175246Z [info     ] 2025-01-26 17:59:09,174 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.175374Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.175511Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.178818Z [info     ] 2025-01-26 17:59:09,178 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.008533239364624023, "tags": {"stream": "public-customer_customer_demo", "pid": 28284, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.179002Z [info     ] 2025-01-26 17:59:09,178 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 28284, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.179172Z [info     ] 2025-01-26 17:59:09,178 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.179272Z [info     ] 2025-01-26 17:59:09,179 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.179521Z [info     ] 2025-01-26 17:59:09,179 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.179652Z [info     ] 2025-01-26 17:59:09,179 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.179745Z [info     ] 2025-01-26 17:59:09,179 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.179866Z [info     ] 2025-01-26 17:59:09,179 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.180824Z [info     ] 2025-01-26 17:59:09,180 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=target-csv
2025-01-26T20:59:09.186520Z [info     ] 2025-01-26 17:59:09,186 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.007213592529296875, "tags": {"stream": "public-customer_demographics", "pid": 28284, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.186728Z [info     ] 2025-01-26 17:59:09,186 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 28284, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
2025-01-26T20:59:09.186917Z [info     ] 2025-01-26 17:59:09,186 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=5765a7d0-76b5-4742-ba73-231d3fe2edee stdio=stderr string_id=tap-postgres
