2025-01-26T23:06:47.286187Z [info     ] 2025-01-26 20:06:47,286 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=62672bde-87e4-419e-990a-2a698356f3ea stdio=stderr string_id=tap-postgres
2025-01-26T23:06:47.286656Z [info     ] 2025-01-26 20:06:47,286 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=62672bde-87e4-419e-990a-2a698356f3ea stdio=stderr string_id=tap-postgres
2025-01-26T23:06:47.319903Z [info     ] 2025-01-26 20:06:47,319 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=62672bde-87e4-419e-990a-2a698356f3ea stdio=stderr string_id=target-csv
2025-01-26T23:06:47.320146Z [info     ] 2025-01-26 20:06:47,319 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=62672bde-87e4-419e-990a-2a698356f3ea stdio=stderr string_id=target-csv
2025-01-26T23:06:47.320294Z [info     ] 2025-01-26 20:06:47,320 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=62672bde-87e4-419e-990a-2a698356f3ea stdio=stderr string_id=target-csv
2025-01-26T23:06:47.320850Z [info     ] 2025-01-26 20:06:47,320 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0342557430267334, "tags": {"stream": "public-categories", "pid": 50860, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=62672bde-87e4-419e-990a-2a698356f3ea stdio=stderr string_id=tap-postgres
2025-01-26T23:06:47.321040Z [info     ] 2025-01-26 20:06:47,320 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 50860, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=62672bde-87e4-419e-990a-2a698356f3ea stdio=stderr string_id=tap-postgres
2025-01-26T23:06:47.321172Z [info     ] 2025-01-26 20:06:47,321 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=62672bde-87e4-419e-990a-2a698356f3ea stdio=stderr string_id=tap-postgres
2025-01-26T23:06:47.321262Z [info     ] 2025-01-26 20:06:47,321 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=62672bde-87e4-419e-990a-2a698356f3ea stdio=stderr string_id=tap-postgres
2025-01-26T23:06:47.322197Z [info     ] 2025-01-26 20:06:47,322 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=62672bde-87e4-419e-990a-2a698356f3ea stdio=stderr string_id=target-csv
2025-01-26T23:06:47.322901Z [info     ] 2025-01-26 20:06:47,322 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=62672bde-87e4-419e-990a-2a698356f3ea stdio=stderr string_id=target-csv
2025-01-26T23:06:47.323026Z [info     ] 2025-01-26 20:06:47,322 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=62672bde-87e4-419e-990a-2a698356f3ea stdio=stderr string_id=target-csv
2025-01-26T23:06:47.324146Z [info     ] 2025-01-26 20:06:47,324 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=62672bde-87e4-419e-990a-2a698356f3ea stdio=stderr string_id=target-csv
