2025-01-27T20:48:49.072555Z [info     ] 2025-01-27 17:48:49,072 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=target-csv
2025-01-27T20:48:49.100690Z [info     ] 2025-01-27 17:48:49,100 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=tap-postgres
2025-01-27T20:48:49.100982Z [info     ] 2025-01-27 17:48:49,100 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=tap-postgres
2025-01-27T20:48:49.101373Z [info     ] 2025-01-27 17:48:49,101 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=target-csv
2025-01-27T20:48:49.101501Z [info     ] 2025-01-27 17:48:49,101 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=target-csv
2025-01-27T20:48:49.103602Z [info     ] 2025-01-27 17:48:49,103 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=target-csv
2025-01-27T20:48:49.133653Z [info     ] 2025-01-27 17:48:49,133 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.032355546951293945, "tags": {"stream": "public-categories", "pid": 164386, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=tap-postgres
2025-01-27T20:48:49.133948Z [info     ] 2025-01-27 17:48:49,133 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 164386, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=tap-postgres
2025-01-27T20:48:49.134100Z [info     ] 2025-01-27 17:48:49,133 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=tap-postgres
2025-01-27T20:48:49.134329Z [info     ] 2025-01-27 17:48:49,133 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=tap-postgres
2025-01-27T20:48:49.134668Z [info     ] 2025-01-27 17:48:49,134 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=target-csv
2025-01-27T20:48:49.134835Z [info     ] 2025-01-27 17:48:49,134 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=target-csv
2025-01-27T20:48:49.135968Z [info     ] 2025-01-27 17:48:49,135 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=target-csv
2025-01-27T20:48:49.138390Z [info     ] 2025-01-27 17:48:49,138 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1151: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=tap-postgres
2025-01-27T20:48:49.138587Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=tap-postgres
2025-01-27T20:48:49.138713Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=tap-postgres
2025-01-27T20:48:49.138852Z [info     ] 2025-01-27 17:48:49,138 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1151: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=tap-postgres
2025-01-27T20:48:49.138992Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=tap-postgres
2025-01-27T20:48:49.139090Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=6821cf9b-ebb7-4a2b-b374-307877121c4f stdio=stderr string_id=tap-postgres
