2025-01-26T21:28:49.521934Z [info     ] 2025-01-26 18:28:49,521 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.522553Z [info     ] 2025-01-26 18:28:49,521 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.562817Z [info     ] 2025-01-26 18:28:49,562 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0405278205871582, "tags": {"stream": "public-categories", "pid": 33966, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.563073Z [info     ] 2025-01-26 18:28:49,562 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 33966, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.563200Z [info     ] 2025-01-26 18:28:49,562 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.563292Z [info     ] 2025-01-26 18:28:49,562 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.567585Z [info     ] 2025-01-26 18:28:49,567 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.567803Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.567920Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.568069Z [info     ] 2025-01-26 18:28:49,567 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.568175Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
