2025-01-27T23:03:39.336093Z [info     ] 2025-01-27 20:03:39,335 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7e83bd54-1090-42dd-80cb-7b0c5ae714f1 stdio=stderr string_id=target-csv
2025-01-27T23:03:39.344607Z [info     ] 2025-01-27 20:03:39,343 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7e83bd54-1090-42dd-80cb-7b0c5ae714f1 stdio=stderr string_id=tap-postgres
2025-01-27T23:03:39.344846Z [info     ] 2025-01-27 20:03:39,343 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7e83bd54-1090-42dd-80cb-7b0c5ae714f1 stdio=stderr string_id=tap-postgres
2025-01-27T23:03:39.345218Z [info     ] 2025-01-27 20:03:39,345 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7e83bd54-1090-42dd-80cb-7b0c5ae714f1 stdio=stderr string_id=target-csv
2025-01-27T23:03:39.345387Z [info     ] 2025-01-27 20:03:39,345 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7e83bd54-1090-42dd-80cb-7b0c5ae714f1 stdio=stderr string_id=target-csv
2025-01-27T23:03:39.347553Z [info     ] 2025-01-27 20:03:39,347 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7e83bd54-1090-42dd-80cb-7b0c5ae714f1 stdio=stderr string_id=target-csv
2025-01-27T23:03:39.424241Z [info     ] 2025-01-27 20:03:39,423 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.07979249954223633, "tags": {"stream": "public-categories", "pid": 204680, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7e83bd54-1090-42dd-80cb-7b0c5ae714f1 stdio=stderr string_id=tap-postgres
2025-01-27T23:03:39.424565Z [info     ] 2025-01-27 20:03:39,424 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 204680, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7e83bd54-1090-42dd-80cb-7b0c5ae714f1 stdio=stderr string_id=tap-postgres
2025-01-27T23:03:39.424711Z [info     ] 2025-01-27 20:03:39,424 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7e83bd54-1090-42dd-80cb-7b0c5ae714f1 stdio=stderr string_id=tap-postgres
2025-01-27T23:03:39.424832Z [info     ] 2025-01-27 20:03:39,424 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7e83bd54-1090-42dd-80cb-7b0c5ae714f1 stdio=stderr string_id=tap-postgres
2025-01-27T23:03:39.429583Z [info     ] 2025-01-27 20:03:39,425 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7e83bd54-1090-42dd-80cb-7b0c5ae714f1 stdio=stderr string_id=target-csv
2025-01-27T23:03:39.429765Z [info     ] 2025-01-27 20:03:39,425 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7e83bd54-1090-42dd-80cb-7b0c5ae714f1 stdio=stderr string_id=target-csv
2025-01-27T23:03:39.429874Z [info     ] 2025-01-27 20:03:39,426 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7e83bd54-1090-42dd-80cb-7b0c5ae714f1 stdio=stderr string_id=target-csv
