2025-01-27T20:04:00.228921Z [info     ] 2025-01-27 17:04:00,228 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=86ff6bcf-da5d-43b7-9a62-573cfb520ad9 stdio=stderr string_id=target-csv
2025-01-27T20:04:00.249381Z [info     ] 2025-01-27 17:04:00,249 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=86ff6bcf-da5d-43b7-9a62-573cfb520ad9 stdio=stderr string_id=tap-postgres
2025-01-27T20:04:00.249779Z [info     ] 2025-01-27 17:04:00,249 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=86ff6bcf-da5d-43b7-9a62-573cfb520ad9 stdio=stderr string_id=tap-postgres
2025-01-27T20:04:00.250225Z [info     ] 2025-01-27 17:04:00,250 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=86ff6bcf-da5d-43b7-9a62-573cfb520ad9 stdio=stderr string_id=target-csv
2025-01-27T20:04:00.250415Z [info     ] 2025-01-27 17:04:00,250 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=86ff6bcf-da5d-43b7-9a62-573cfb520ad9 stdio=stderr string_id=target-csv
2025-01-27T20:04:00.252961Z [info     ] 2025-01-27 17:04:00,252 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=86ff6bcf-da5d-43b7-9a62-573cfb520ad9 stdio=stderr string_id=target-csv
2025-01-27T20:04:00.286723Z [info     ] 2025-01-27 17:04:00,286 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03653430938720703, "tags": {"stream": "public-categories", "pid": 149734, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=86ff6bcf-da5d-43b7-9a62-573cfb520ad9 stdio=stderr string_id=tap-postgres
2025-01-27T20:04:00.287022Z [info     ] 2025-01-27 17:04:00,286 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 149734, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=86ff6bcf-da5d-43b7-9a62-573cfb520ad9 stdio=stderr string_id=tap-postgres
2025-01-27T20:04:00.287119Z [info     ] 2025-01-27 17:04:00,286 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=86ff6bcf-da5d-43b7-9a62-573cfb520ad9 stdio=stderr string_id=tap-postgres
2025-01-27T20:04:00.287203Z [info     ] 2025-01-27 17:04:00,286 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=86ff6bcf-da5d-43b7-9a62-573cfb520ad9 stdio=stderr string_id=tap-postgres
2025-01-27T20:04:00.287598Z [info     ] 2025-01-27 17:04:00,287 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=86ff6bcf-da5d-43b7-9a62-573cfb520ad9 stdio=stderr string_id=target-csv
