2025-01-27T17:22:11.677025Z [info     ] 2025-01-27 14:22:11,676 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=927c2b53-b416-47b4-8788-080f6d264d9e stdio=stderr string_id=target-csv
2025-01-27T17:22:11.773531Z [info     ] 2025-01-27 14:22:11,773 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=927c2b53-b416-47b4-8788-080f6d264d9e stdio=stderr string_id=tap-postgres
2025-01-27T17:22:11.773869Z [info     ] 2025-01-27 14:22:11,773 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=927c2b53-b416-47b4-8788-080f6d264d9e stdio=stderr string_id=tap-postgres
2025-01-27T17:22:11.774293Z [info     ] 2025-01-27 14:22:11,774 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=927c2b53-b416-47b4-8788-080f6d264d9e stdio=stderr string_id=target-csv
2025-01-27T17:22:11.774456Z [info     ] 2025-01-27 14:22:11,774 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=927c2b53-b416-47b4-8788-080f6d264d9e stdio=stderr string_id=target-csv
2025-01-27T17:22:11.776271Z [info     ] 2025-01-27 14:22:11,776 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=927c2b53-b416-47b4-8788-080f6d264d9e stdio=stderr string_id=target-csv
2025-01-27T17:22:11.882645Z [info     ] 2025-01-27 14:22:11,807 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03377509117126465, "tags": {"stream": "public-categories", "pid": 89655, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=927c2b53-b416-47b4-8788-080f6d264d9e stdio=stderr string_id=tap-postgres
2025-01-27T17:22:11.882879Z [info     ] 2025-01-27 14:22:11,807 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 89655, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=927c2b53-b416-47b4-8788-080f6d264d9e stdio=stderr string_id=tap-postgres
2025-01-27T17:22:11.883001Z [info     ] 2025-01-27 14:22:11,807 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=927c2b53-b416-47b4-8788-080f6d264d9e stdio=stderr string_id=tap-postgres
2025-01-27T17:22:11.883101Z [info     ] 2025-01-27 14:22:11,807 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=927c2b53-b416-47b4-8788-080f6d264d9e stdio=stderr string_id=tap-postgres
2025-01-27T17:22:11.883198Z [info     ] 2025-01-27 14:22:11,812 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1151: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=927c2b53-b416-47b4-8788-080f6d264d9e stdio=stderr string_id=tap-postgres
