2025-01-26T21:04:04.698576Z [info     ] 2025-01-26 18:04:04,698 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.725799Z [info     ] 2025-01-26 18:04:04,725 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.726101Z [info     ] 2025-01-26 18:04:04,725 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.726417Z [info     ] 2025-01-26 18:04:04,726 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.726544Z [info     ] 2025-01-26 18:04:04,726 | INFO     | target-csv.public-categories | Initializing target sink for stream 'public-categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.728475Z [info     ] 2025-01-26 18:04:04,728 | INFO     | target-csv.public-categories | Setting up public-categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.757005Z [info     ] 2025-01-26 18:04:04,756 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.030849695205688477, "tags": {"stream": "public-categories", "pid": 29582, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.757229Z [info     ] 2025-01-26 18:04:04,756 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 29582, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.757326Z [info     ] 2025-01-26 18:04:04,757 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.757425Z [info     ] 2025-01-26 18:04:04,757 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.757740Z [info     ] 2025-01-26 18:04:04,757 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.757909Z [info     ] 2025-01-26 18:04:04,757 | INFO     | target-csv.public-customer_customer_demo | Initializing target sink for stream 'public-customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.758949Z [info     ] 2025-01-26 18:04:04,758 | INFO     | target-csv.public-customer_customer_demo | Setting up public-customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.762008Z [info     ] 2025-01-26 18:04:04,761 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.762154Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.762260Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.762372Z [info     ] 2025-01-26 18:04:04,762 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.762491Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.762574Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.765826Z [info     ] 2025-01-26 18:04:04,765 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.008383989334106445, "tags": {"stream": "public-customer_customer_demo", "pid": 29582, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.765998Z [info     ] 2025-01-26 18:04:04,765 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 29582, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.766137Z [info     ] 2025-01-26 18:04:04,765 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.766238Z [info     ] 2025-01-26 18:04:04,766 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.766600Z [info     ] 2025-01-26 18:04:04,766 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.766767Z [info     ] 2025-01-26 18:04:04,766 | INFO     | target-csv.public-customer_demographics | Initializing target sink for stream 'public-customer_demographics'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.767859Z [info     ] 2025-01-26 18:04:04,767 | INFO     | target-csv.public-customer_demographics | Setting up public-customer_demographics cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.773433Z [info     ] 2025-01-26 18:04:04,773 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.007091522216796875, "tags": {"stream": "public-customer_demographics", "pid": 29582, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.773599Z [info     ] 2025-01-26 18:04:04,773 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 29582, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.773730Z [info     ] 2025-01-26 18:04:04,773 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.773823Z [info     ] 2025-01-26 18:04:04,773 | INFO     | tap-postgres.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.774140Z [info     ] 2025-01-26 18:04:04,774 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.774264Z [info     ] 2025-01-26 18:04:04,774 | INFO     | target-csv.public-customers | Initializing target sink for stream 'public-customers'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.778138Z [info     ] 2025-01-26 18:04:04,777 | INFO     | target-csv.public-customers | Setting up public-customers cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.787293Z [info     ] 2025-01-26 18:04:04,787 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.013181447982788086, "tags": {"stream": "public-customers", "pid": 29582, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.787574Z [info     ] 2025-01-26 18:04:04,787 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "public-customers", "pid": 29582, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.787744Z [info     ] 2025-01-26 18:04:04,787 | INFO     | tap-postgres.public-employee_territories | Beginning full_table sync of 'public-employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.787885Z [info     ] 2025-01-26 18:04:04,787 | INFO     | tap-postgres.public-employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.790530Z [info     ] 2025-01-26 18:04:04,790 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.790716Z [info     ] 2025-01-26 18:04:04,790 | INFO     | target-csv.public-employee_territories | Initializing target sink for stream 'public-employee_territories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.791678Z [info     ] 2025-01-26 18:04:04,791 | INFO     | target-csv.public-employee_territories | Setting up public-employee_territories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.797791Z [info     ] 2025-01-26 18:04:04,797 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.010105371475219727, "tags": {"stream": "public-employee_territories", "pid": 29582, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.798066Z [info     ] 2025-01-26 18:04:04,797 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "public-employee_territories", "pid": 29582, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.798197Z [info     ] 2025-01-26 18:04:04,797 | INFO     | tap-postgres.public-employees | Beginning full_table sync of 'public-employees'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.798349Z [info     ] 2025-01-26 18:04:04,798 | INFO     | tap-postgres.public-employees | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=tap-postgres
2025-01-26T21:04:04.798745Z [info     ] 2025-01-26 18:04:04,798 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
2025-01-26T21:04:04.798897Z [info     ] 2025-01-26 18:04:04,798 | INFO     | target-csv.public-employees | Initializing target sink for stream 'public-employees'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=aa1ae4d2-c7c6-4be6-922f-bf76a75a810e stdio=stderr string_id=target-csv
