2025-01-26T19:57:19.449909Z [info     ] 2025-01-26 16:57:19,449 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.450451Z [info     ] 2025-01-26 16:57:19,449 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.484196Z [info     ] 2025-01-26 16:57:19,484 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03382229804992676, "tags": {"stream": "public-categories", "pid": 13275, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.484432Z [info     ] 2025-01-26 16:57:19,484 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 13275, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.484576Z [info     ] 2025-01-26 16:57:19,484 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.484688Z [info     ] 2025-01-26 16:57:19,484 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.489354Z [info     ] 2025-01-26 16:57:19,489 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.489637Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.489751Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.489879Z [info     ] 2025-01-26 16:57:19,489 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.489967Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
