2025-01-26T21:06:51.864500Z [info     ] 2025-01-26 18:06:51,864 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:51.953563Z [info     ] 2025-01-26 18:06:51,953 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.953910Z [info     ] 2025-01-26 18:06:51,953 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.954440Z [info     ] 2025-01-26 18:06:51,954 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:51.954628Z [info     ] 2025-01-26 18:06:51,954 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:51.956963Z [info     ] 2025-01-26 18:06:51,956 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:51.985674Z [info     ] 2025-01-26 18:06:51,985 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03165149688720703, "tags": {"stream": "public-categories", "pid": 30311, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.985897Z [info     ] 2025-01-26 18:06:51,985 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 30311, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.986007Z [info     ] 2025-01-26 18:06:51,985 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.986112Z [info     ] 2025-01-26 18:06:51,985 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.986364Z [info     ] 2025-01-26 18:06:51,986 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:51.986485Z [info     ] 2025-01-26 18:06:51,986 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:51.986589Z [info     ] 2025-01-26 18:06:51,986 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:51.986698Z [info     ] 2025-01-26 18:06:51,986 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:51.987792Z [info     ] 2025-01-26 18:06:51,987 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
2025-01-26T21:06:51.990273Z [info     ] 2025-01-26 18:06:51,990 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.990387Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.990485Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.990588Z [info     ] 2025-01-26 18:06:51,990 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.990719Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.990813Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.994148Z [info     ] 2025-01-26 18:06:51,993 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.008017539978027344, "tags": {"stream": "public-customer_customer_demo", "pid": 30311, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.994342Z [info     ] 2025-01-26 18:06:51,994 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 30311, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.994443Z [info     ] 2025-01-26 18:06:51,994 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.994523Z [info     ] 2025-01-26 18:06:51,994 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=tap-postgres
2025-01-26T21:06:51.994825Z [info     ] 2025-01-26 18:06:51,994 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b0b0470e-dffc-4da6-a5fa-93ea35e36810 stdio=stderr string_id=target-csv
