2025-01-26T20:47:47.238739Z [info     ] 2025-01-26 17:47:47,238 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=target-csv
2025-01-26T20:47:47.326686Z [info     ] 2025-01-26 17:47:47,326 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
2025-01-26T20:47:47.326965Z [info     ] 2025-01-26 17:47:47,326 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
2025-01-26T20:47:47.327358Z [info     ] 2025-01-26 17:47:47,327 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=target-csv
2025-01-26T20:47:47.327565Z [info     ] 2025-01-26 17:47:47,327 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=target-csv
2025-01-26T20:47:47.329356Z [info     ] 2025-01-26 17:47:47,329 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=target-csv
2025-01-26T20:47:47.358530Z [info     ] 2025-01-26 17:47:47,358 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03151059150695801, "tags": {"stream": "public-categories", "pid": 26343, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
2025-01-26T20:47:47.358768Z [info     ] 2025-01-26 17:47:47,358 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 26343, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
2025-01-26T20:47:47.358926Z [info     ] 2025-01-26 17:47:47,358 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
2025-01-26T20:47:47.359084Z [info     ] 2025-01-26 17:47:47,358 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
2025-01-26T20:47:47.359367Z [info     ] 2025-01-26 17:47:47,359 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=target-csv
2025-01-26T20:47:47.359482Z [info     ] 2025-01-26 17:47:47,359 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=target-csv
2025-01-26T20:47:47.360587Z [info     ] 2025-01-26 17:47:47,360 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=target-csv
2025-01-26T20:47:47.363034Z [info     ] 2025-01-26 17:47:47,362 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
2025-01-26T20:47:47.363168Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
2025-01-26T20:47:47.363255Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
2025-01-26T20:47:47.363358Z [info     ] 2025-01-26 17:47:47,363 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
2025-01-26T20:47:47.363445Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
2025-01-26T20:47:47.363521Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
2025-01-26T20:47:47.366862Z [info     ] 2025-01-26 17:47:47,366 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.007896184921264648, "tags": {"stream": "public-customer_customer_demo", "pid": 26343, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
2025-01-26T20:47:47.367046Z [info     ] 2025-01-26 17:47:47,366 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 26343, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=b2d788de-49fc-43ed-bbd3-b8d93abcf6d7 stdio=stderr string_id=tap-postgres
