2025-01-26T21:11:40.941615Z [info     ] 2025-01-26 18:11:40,941 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=target-csv
2025-01-26T21:11:41.026871Z [info     ] 2025-01-26 18:11:41,026 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.027124Z [info     ] 2025-01-26 18:11:41,026 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.027273Z [info     ] 2025-01-26 18:11:41,027 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=target-csv
2025-01-26T21:11:41.027393Z [info     ] 2025-01-26 18:11:41,027 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=target-csv
2025-01-26T21:11:41.029636Z [info     ] 2025-01-26 18:11:41,029 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=target-csv
2025-01-26T21:11:41.058233Z [info     ] 2025-01-26 18:11:41,058 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03121471405029297, "tags": {"stream": "public-categories", "pid": 31163, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.058460Z [info     ] 2025-01-26 18:11:41,058 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 31163, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.058555Z [info     ] 2025-01-26 18:11:41,058 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.058637Z [info     ] 2025-01-26 18:11:41,058 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.058922Z [info     ] 2025-01-26 18:11:41,058 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=target-csv
