2025-01-26T22:42:40.698947Z [info     ] 2025-01-26 19:42:40,698 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.699841Z [info     ] 2025-01-26 19:42:40,699 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.700102Z [info     ] 2025-01-26 19:42:40,699 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.700482Z [info     ] 2025-01-26 19:42:40,700 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.700704Z [info     ] 2025-01-26 19:42:40,700 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.702899Z [info     ] 2025-01-26 19:42:40,702 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.734413Z [info     ] 2025-01-26 19:42:40,734 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03410959243774414, "tags": {"stream": "public-categories", "pid": 46391, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.734648Z [info     ] 2025-01-26 19:42:40,734 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 46391, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.734762Z [info     ] 2025-01-26 19:42:40,734 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.734856Z [info     ] 2025-01-26 19:42:40,734 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.735191Z [info     ] 2025-01-26 19:42:40,735 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.735368Z [info     ] 2025-01-26 19:42:40,735 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.736492Z [info     ] 2025-01-26 19:42:40,736 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.738830Z [info     ] 2025-01-26 19:42:40,738 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.738957Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.739059Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.739194Z [info     ] 2025-01-26 19:42:40,738 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.739326Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.739442Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.742515Z [info     ] 2025-01-26 19:42:40,742 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00765681266784668, "tags": {"stream": "public-customer_customer_demo", "pid": 46391, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.742730Z [info     ] 2025-01-26 19:42:40,742 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 46391, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.742912Z [info     ] 2025-01-26 19:42:40,742 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.743199Z [info     ] 2025-01-26 19:42:40,742 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.743351Z [info     ] 2025-01-26 19:42:40,743 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.743466Z [info     ] 2025-01-26 19:42:40,743 | INFO     | target-csv.customer_demographics | Initializing target sink for stream 'customer_demographics'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.744639Z [info     ] 2025-01-26 19:42:40,744 | INFO     | target-csv.customer_demographics | Setting up customer_demographics cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.751054Z [info     ] 2025-01-26 19:42:40,750 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.008089303970336914, "tags": {"stream": "public-customer_demographics", "pid": 46391, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.751280Z [info     ] 2025-01-26 19:42:40,750 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 46391, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.751432Z [info     ] 2025-01-26 19:42:40,751 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.751536Z [info     ] 2025-01-26 19:42:40,751 | INFO     | tap-postgres.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.751712Z [info     ] 2025-01-26 19:42:40,751 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.751820Z [info     ] 2025-01-26 19:42:40,751 | INFO     | target-csv.customers | Initializing target sink for stream 'customers'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.755923Z [info     ] 2025-01-26 19:42:40,755 | INFO     | target-csv.customers | Setting up customers cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.764781Z [info     ] 2025-01-26 19:42:40,764 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.013256311416625977, "tags": {"stream": "public-customers", "pid": 46391, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.765020Z [info     ] 2025-01-26 19:42:40,764 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "public-customers", "pid": 46391, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.765144Z [info     ] 2025-01-26 19:42:40,764 | INFO     | tap-postgres.public-employee_territories | Beginning full_table sync of 'public-employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.765279Z [info     ] 2025-01-26 19:42:40,764 | INFO     | tap-postgres.public-employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.766851Z [info     ] 2025-01-26 19:42:40,766 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.767044Z [info     ] 2025-01-26 19:42:40,766 | INFO     | target-csv.employee_territories | Initializing target sink for stream 'employee_territories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.767960Z [info     ] 2025-01-26 19:42:40,767 | INFO     | target-csv.employee_territories | Setting up employee_territories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.775140Z [info     ] 2025-01-26 19:42:40,775 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.009936809539794922, "tags": {"stream": "public-employee_territories", "pid": 46391, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.775348Z [info     ] 2025-01-26 19:42:40,775 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "public-employee_territories", "pid": 46391, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.775469Z [info     ] 2025-01-26 19:42:40,775 | INFO     | tap-postgres.public-employees | Beginning full_table sync of 'public-employees'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.775556Z [info     ] 2025-01-26 19:42:40,775 | INFO     | tap-postgres.public-employees | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.775890Z [info     ] 2025-01-26 19:42:40,775 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.776058Z [info     ] 2025-01-26 19:42:40,775 | INFO     | target-csv.employees | Initializing target sink for stream 'employees'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.781435Z [info     ] 2025-01-26 19:42:40,781 | INFO     | target-csv.employees | Setting up employees cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.785664Z [info     ] 2025-01-26 19:42:40,785 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.009904861450195312, "tags": {"stream": "public-employees", "pid": 46391, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.785814Z [info     ] 2025-01-26 19:42:40,785 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "public-employees", "pid": 46391, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.785930Z [info     ] 2025-01-26 19:42:40,785 | INFO     | tap-postgres.public-orders | Beginning full_table sync of 'public-orders'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.786028Z [info     ] 2025-01-26 19:42:40,785 | INFO     | tap-postgres.public-orders | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=tap-postgres
2025-01-26T22:42:40.786307Z [info     ] 2025-01-26 19:42:40,786 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
2025-01-26T22:42:40.786421Z [info     ] 2025-01-26 19:42:40,786 | INFO     | target-csv.orders    | Initializing target sink for stream 'orders'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=c223f5cb-e466-483f-b7c0-a09f6442c033 stdio=stderr string_id=target-csv
