2025-01-26T20:41:13.615118Z [info     ] 2025-01-26 17:41:13,614 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c7ffca4b-c1a5-4af8-8fd0-ed96cf6ea954 stdio=stderr string_id=tap-postgres
2025-01-26T20:41:13.615632Z [info     ] 2025-01-26 17:41:13,615 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c7ffca4b-c1a5-4af8-8fd0-ed96cf6ea954 stdio=stderr string_id=tap-postgres
2025-01-26T20:41:13.651599Z [info     ] 2025-01-26 17:41:13,651 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.036049604415893555, "tags": {"stream": "public-categories", "pid": 25068, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c7ffca4b-c1a5-4af8-8fd0-ed96cf6ea954 stdio=stderr string_id=tap-postgres
2025-01-26T20:41:13.651855Z [info     ] 2025-01-26 17:41:13,651 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 25068, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c7ffca4b-c1a5-4af8-8fd0-ed96cf6ea954 stdio=stderr string_id=tap-postgres
2025-01-26T20:41:13.652089Z [info     ] 2025-01-26 17:41:13,651 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c7ffca4b-c1a5-4af8-8fd0-ed96cf6ea954 stdio=stderr string_id=tap-postgres
2025-01-26T20:41:13.652228Z [info     ] 2025-01-26 17:41:13,651 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c7ffca4b-c1a5-4af8-8fd0-ed96cf6ea954 stdio=stderr string_id=tap-postgres
2025-01-26T20:41:13.656420Z [info     ] 2025-01-26 17:41:13,656 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c7ffca4b-c1a5-4af8-8fd0-ed96cf6ea954 stdio=stderr string_id=tap-postgres
2025-01-26T20:41:13.656626Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c7ffca4b-c1a5-4af8-8fd0-ed96cf6ea954 stdio=stderr string_id=tap-postgres
2025-01-26T20:41:13.656781Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c7ffca4b-c1a5-4af8-8fd0-ed96cf6ea954 stdio=stderr string_id=tap-postgres
2025-01-26T20:41:13.656954Z [info     ] 2025-01-26 17:41:13,656 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c7ffca4b-c1a5-4af8-8fd0-ed96cf6ea954 stdio=stderr string_id=tap-postgres
2025-01-26T20:41:13.657103Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=c7ffca4b-c1a5-4af8-8fd0-ed96cf6ea954 stdio=stderr string_id=tap-postgres
