2025-01-27T16:55:16.139418Z [info     ] 2025-01-27 13:55:16,139 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=target-csv
2025-01-27T16:55:16.177716Z [info     ] 2025-01-27 13:55:16,177 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=tap-postgres
2025-01-27T16:55:16.178071Z [info     ] 2025-01-27 13:55:16,177 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=tap-postgres
2025-01-27T16:55:16.178578Z [info     ] 2025-01-27 13:55:16,178 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=target-csv
2025-01-27T16:55:16.178735Z [info     ] 2025-01-27 13:55:16,178 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=target-csv
2025-01-27T16:55:16.180461Z [info     ] 2025-01-27 13:55:16,180 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=target-csv
2025-01-27T16:55:16.211387Z [info     ] 2025-01-27 13:55:16,211 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03315591812133789, "tags": {"stream": "public-categories", "pid": 78702, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=tap-postgres
2025-01-27T16:55:16.211655Z [info     ] 2025-01-27 13:55:16,211 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 78702, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=tap-postgres
2025-01-27T16:55:16.211785Z [info     ] 2025-01-27 13:55:16,211 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=tap-postgres
2025-01-27T16:55:16.211926Z [info     ] 2025-01-27 13:55:16,211 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=tap-postgres
2025-01-27T16:55:16.212244Z [info     ] 2025-01-27 13:55:16,212 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=target-csv
2025-01-27T16:55:16.212380Z [info     ] 2025-01-27 13:55:16,212 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=target-csv
2025-01-27T16:55:16.213540Z [info     ] 2025-01-27 13:55:16,213 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=target-csv
2025-01-27T16:55:16.216194Z [info     ] 2025-01-27 13:55:16,216 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=tap-postgres
2025-01-27T16:55:16.216309Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=tap-postgres
2025-01-27T16:55:16.216452Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=tap-postgres
2025-01-27T16:55:16.216591Z [info     ] 2025-01-27 13:55:16,216 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=tap-postgres
2025-01-27T16:55:16.216732Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=tap-postgres
2025-01-27T16:55:16.216852Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=cbe51ee5-a0d8-4691-ad87-b49357486c22 stdio=stderr string_id=tap-postgres
