2025-01-26T21:49:53.229656Z [info     ] 2025-01-26 18:49:53,157 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d0144b47-a62a-4898-b980-3d8bfd5b04c1 stdio=stderr string_id=target-csv
2025-01-26T21:49:53.289730Z [info     ] 2025-01-26 18:49:53,289 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d0144b47-a62a-4898-b980-3d8bfd5b04c1 stdio=stderr string_id=tap-postgres
2025-01-26T21:49:53.290092Z [info     ] 2025-01-26 18:49:53,289 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d0144b47-a62a-4898-b980-3d8bfd5b04c1 stdio=stderr string_id=tap-postgres
2025-01-26T21:49:53.290488Z [info     ] 2025-01-26 18:49:53,290 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d0144b47-a62a-4898-b980-3d8bfd5b04c1 stdio=stderr string_id=target-csv
2025-01-26T21:49:53.290682Z [info     ] 2025-01-26 18:49:53,290 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d0144b47-a62a-4898-b980-3d8bfd5b04c1 stdio=stderr string_id=target-csv
2025-01-26T21:49:53.292585Z [info     ] 2025-01-26 18:49:53,292 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d0144b47-a62a-4898-b980-3d8bfd5b04c1 stdio=stderr string_id=target-csv
2025-01-26T21:49:53.329583Z [info     ] 2025-01-26 18:49:53,329 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03905963897705078, "tags": {"stream": "public-categories", "pid": 39484, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d0144b47-a62a-4898-b980-3d8bfd5b04c1 stdio=stderr string_id=tap-postgres
2025-01-26T21:49:53.330012Z [info     ] 2025-01-26 18:49:53,329 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 39484, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d0144b47-a62a-4898-b980-3d8bfd5b04c1 stdio=stderr string_id=tap-postgres
2025-01-26T21:49:53.330171Z [info     ] 2025-01-26 18:49:53,329 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d0144b47-a62a-4898-b980-3d8bfd5b04c1 stdio=stderr string_id=tap-postgres
2025-01-26T21:49:53.330336Z [info     ] 2025-01-26 18:49:53,329 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d0144b47-a62a-4898-b980-3d8bfd5b04c1 stdio=stderr string_id=tap-postgres
2025-01-26T21:49:53.330892Z [info     ] 2025-01-26 18:49:53,330 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d0144b47-a62a-4898-b980-3d8bfd5b04c1 stdio=stderr string_id=target-csv
