2025-01-26T21:12:02.738127Z [info     ] 2025-01-26 18:12:02,737 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.749283Z [info     ] 2025-01-26 18:12:02,749 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.749550Z [info     ] 2025-01-26 18:12:02,749 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.749885Z [info     ] 2025-01-26 18:12:02,749 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.750026Z [info     ] 2025-01-26 18:12:02,749 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.751933Z [info     ] 2025-01-26 18:12:02,751 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.781978Z [info     ] 2025-01-26 18:12:02,781 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03229355812072754, "tags": {"stream": "public-categories", "pid": 31299, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.782221Z [info     ] 2025-01-26 18:12:02,781 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 31299, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.782326Z [info     ] 2025-01-26 18:12:02,782 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.782422Z [info     ] 2025-01-26 18:12:02,782 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.782740Z [info     ] 2025-01-26 18:12:02,782 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.782920Z [info     ] 2025-01-26 18:12:02,782 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.783042Z [info     ] 2025-01-26 18:12:02,782 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.783127Z [info     ] 2025-01-26 18:12:02,782 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.784062Z [info     ] 2025-01-26 18:12:02,783 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=target-csv
2025-01-26T21:12:02.786383Z [info     ] 2025-01-26 18:12:02,786 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.786528Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.786689Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.786846Z [info     ] 2025-01-26 18:12:02,786 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.786965Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.787059Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.790221Z [info     ] 2025-01-26 18:12:02,790 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0077991485595703125, "tags": {"stream": "public-customer_customer_demo", "pid": 31299, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.790462Z [info     ] 2025-01-26 18:12:02,790 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 31299, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.790628Z [info     ] 2025-01-26 18:12:02,790 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
2025-01-26T21:12:02.790805Z [info     ] 2025-01-26 18:12:02,790 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d1a8d447-b6c8-4e60-af07-f1d2522993c0 stdio=stderr string_id=tap-postgres
