2025-01-27T19:46:05.313868Z [info     ] 2025-01-27 16:46:05,313 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d6439988-28c3-4c18-96d7-c506e52b2175 stdio=stderr string_id=target-csv
2025-01-27T19:46:05.329453Z [info     ] 2025-01-27 16:46:05,329 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d6439988-28c3-4c18-96d7-c506e52b2175 stdio=stderr string_id=tap-postgres
2025-01-27T19:46:05.329841Z [info     ] 2025-01-27 16:46:05,329 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d6439988-28c3-4c18-96d7-c506e52b2175 stdio=stderr string_id=tap-postgres
2025-01-27T19:46:05.330340Z [info     ] 2025-01-27 16:46:05,330 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d6439988-28c3-4c18-96d7-c506e52b2175 stdio=stderr string_id=target-csv
2025-01-27T19:46:05.330598Z [info     ] 2025-01-27 16:46:05,330 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d6439988-28c3-4c18-96d7-c506e52b2175 stdio=stderr string_id=target-csv
2025-01-27T19:46:05.332591Z [info     ] 2025-01-27 16:46:05,332 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d6439988-28c3-4c18-96d7-c506e52b2175 stdio=stderr string_id=target-csv
2025-01-27T19:46:05.364852Z [info     ] 2025-01-27 16:46:05,364 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03500676155090332, "tags": {"stream": "public-categories", "pid": 141952, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d6439988-28c3-4c18-96d7-c506e52b2175 stdio=stderr string_id=tap-postgres
2025-01-27T19:46:05.365106Z [info     ] 2025-01-27 16:46:05,364 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 141952, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d6439988-28c3-4c18-96d7-c506e52b2175 stdio=stderr string_id=tap-postgres
2025-01-27T19:46:05.365281Z [info     ] 2025-01-27 16:46:05,364 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d6439988-28c3-4c18-96d7-c506e52b2175 stdio=stderr string_id=tap-postgres
2025-01-27T19:46:05.365394Z [info     ] 2025-01-27 16:46:05,365 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d6439988-28c3-4c18-96d7-c506e52b2175 stdio=stderr string_id=tap-postgres
2025-01-27T19:46:05.365730Z [info     ] 2025-01-27 16:46:05,365 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d6439988-28c3-4c18-96d7-c506e52b2175 stdio=stderr string_id=target-csv
