2025-01-27T18:20:34.912915Z [info     ] 2025-01-27 15:20:34,912 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:34.964708Z [info     ] 2025-01-27 15:20:34,964 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:34.965130Z [info     ] 2025-01-27 15:20:34,964 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:34.965631Z [info     ] 2025-01-27 15:20:34,965 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:34.965782Z [info     ] 2025-01-27 15:20:34,965 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:34.968043Z [info     ] 2025-01-27 15:20:34,967 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.005850Z [info     ] 2025-01-27 15:20:35,005 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.040692806243896484, "tags": {"stream": "public-categories", "pid": 109142, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.006102Z [info     ] 2025-01-27 15:20:35,005 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 109142, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.006236Z [info     ] 2025-01-27 15:20:35,005 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.006354Z [info     ] 2025-01-27 15:20:35,006 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.006715Z [info     ] 2025-01-27 15:20:35,006 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.006886Z [info     ] 2025-01-27 15:20:35,006 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.007863Z [info     ] 2025-01-27 15:20:35,007 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.010630Z [info     ] 2025-01-27 15:20:35,010 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1151: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.010812Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.010910Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.011058Z [info     ] 2025-01-27 15:20:35,010 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1151: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.011185Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.011308Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.015296Z [info     ] 2025-01-27 15:20:35,015 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.008896350860595703, "tags": {"stream": "public-customer_customer_demo", "pid": 109142, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.015648Z [info     ] 2025-01-27 15:20:35,015 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 109142, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.015831Z [info     ] 2025-01-27 15:20:35,015 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.015962Z [info     ] 2025-01-27 15:20:35,015 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.016389Z [info     ] 2025-01-27 15:20:35,016 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.016569Z [info     ] 2025-01-27 15:20:35,016 | INFO     | target-csv.customer_demographics | Initializing target sink for stream 'customer_demographics'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.017522Z [info     ] 2025-01-27 15:20:35,017 | INFO     | target-csv.customer_demographics | Setting up customer_demographics cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.025073Z [info     ] 2025-01-27 15:20:35,024 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.009148120880126953, "tags": {"stream": "public-customer_demographics", "pid": 109142, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.025310Z [info     ] 2025-01-27 15:20:35,024 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 109142, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.025502Z [info     ] 2025-01-27 15:20:35,025 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.025641Z [info     ] 2025-01-27 15:20:35,025 | INFO     | tap-postgres.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.025795Z [info     ] 2025-01-27 15:20:35,025 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.025947Z [info     ] 2025-01-27 15:20:35,025 | INFO     | target-csv.customers | Initializing target sink for stream 'customers'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.029839Z [info     ] 2025-01-27 15:20:35,029 | INFO     | target-csv.customers | Setting up customers cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.043897Z [info     ] 2025-01-27 15:20:35,043 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.018312931060791016, "tags": {"stream": "public-customers", "pid": 109142, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.044227Z [info     ] 2025-01-27 15:20:35,043 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "public-customers", "pid": 109142, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.044409Z [info     ] 2025-01-27 15:20:35,044 | INFO     | tap-postgres.public-employee_territories | Beginning full_table sync of 'public-employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.044546Z [info     ] 2025-01-27 15:20:35,044 | INFO     | tap-postgres.public-employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.046349Z [info     ] 2025-01-27 15:20:35,046 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.046821Z [info     ] 2025-01-27 15:20:35,046 | INFO     | target-csv.employee_territories | Initializing target sink for stream 'employee_territories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.048044Z [info     ] 2025-01-27 15:20:35,047 | INFO     | target-csv.employee_territories | Setting up employee_territories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.056667Z [info     ] 2025-01-27 15:20:35,056 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.012212276458740234, "tags": {"stream": "public-employee_territories", "pid": 109142, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.056906Z [info     ] 2025-01-27 15:20:35,056 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "public-employee_territories", "pid": 109142, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.057039Z [info     ] 2025-01-27 15:20:35,056 | INFO     | tap-postgres.public-employees | Beginning full_table sync of 'public-employees'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.057134Z [info     ] 2025-01-27 15:20:35,056 | INFO     | tap-postgres.public-employees | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.057464Z [info     ] 2025-01-27 15:20:35,057 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.057597Z [info     ] 2025-01-27 15:20:35,057 | INFO     | target-csv.employees | Initializing target sink for stream 'employees'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.064921Z [info     ] 2025-01-27 15:20:35,064 | INFO     | target-csv.employees | Setting up employees cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.072936Z [info     ] 2025-01-27 15:20:35,072 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.015642881393432617, "tags": {"stream": "public-employees", "pid": 109142, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.073167Z [info     ] 2025-01-27 15:20:35,072 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "public-employees", "pid": 109142, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.073290Z [info     ] 2025-01-27 15:20:35,073 | INFO     | tap-postgres.public-orders | Beginning full_table sync of 'public-orders'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.073378Z [info     ] 2025-01-27 15:20:35,073 | INFO     | tap-postgres.public-orders | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.073730Z [info     ] 2025-01-27 15:20:35,073 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.073896Z [info     ] 2025-01-27 15:20:35,073 | INFO     | target-csv.orders    | Initializing target sink for stream 'orders'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.078420Z [info     ] 2025-01-27 15:20:35,078 | INFO     | target-csv.orders    | Setting up orders cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=target-csv
2025-01-27T18:20:35.122491Z [info     ] 2025-01-27 15:20:35,122 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.048951148986816406, "tags": {"stream": "public-orders", "pid": 109142, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.122757Z [info     ] 2025-01-27 15:20:35,122 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "public-orders", "pid": 109142, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.122896Z [info     ] 2025-01-27 15:20:35,122 | INFO     | tap-postgres.public-products | Beginning full_table sync of 'public-products'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.123046Z [info     ] 2025-01-27 15:20:35,122 | INFO     | tap-postgres.public-products | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.140185Z [info     ] 2025-01-27 15:20:35,139 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.016741514205932617, "tags": {"stream": "public-products", "pid": 109142, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.140429Z [info     ] 2025-01-27 15:20:35,139 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "public-products", "pid": 109142, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.140562Z [info     ] 2025-01-27 15:20:35,140 | INFO     | tap-postgres.public-region | Beginning full_table sync of 'public-region'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.140650Z [info     ] 2025-01-27 15:20:35,140 | INFO     | tap-postgres.public-region | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.144776Z [info     ] 2025-01-27 15:20:35,144 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1151: SAWarning: Did not recognize type 'bpchar' of column 'region_description' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.144935Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.145029Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.149617Z [info     ] 2025-01-27 15:20:35,149 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.009252071380615234, "tags": {"stream": "public-region", "pid": 109142, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.149880Z [info     ] 2025-01-27 15:20:35,149 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "public-region", "pid": 109142, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.150000Z [info     ] 2025-01-27 15:20:35,149 | INFO     | tap-postgres.public-shippers | Beginning full_table sync of 'public-shippers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.150145Z [info     ] 2025-01-27 15:20:35,149 | INFO     | tap-postgres.public-shippers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
2025-01-27T18:20:35.158590Z [info     ] 2025-01-27 15:20:35,158 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00847315788269043, "tags": {"stream": "public-shippers", "pid": 109142, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=d740870a-3928-4dac-8e91-54f0def89309 stdio=stderr string_id=tap-postgres
