2025-01-26T21:04:31.236361Z [info     ] 2025-01-26 18:04:31,236 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=dabea232-60e3-47f3-973c-d45e4d7c7f04 stdio=stderr string_id=target-csv
2025-01-26T21:04:31.337815Z [info     ] 2025-01-26 18:04:31,337 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=dabea232-60e3-47f3-973c-d45e4d7c7f04 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:31.338158Z [info     ] 2025-01-26 18:04:31,337 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=dabea232-60e3-47f3-973c-d45e4d7c7f04 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:31.338564Z [info     ] 2025-01-26 18:04:31,338 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=dabea232-60e3-47f3-973c-d45e4d7c7f04 stdio=stderr string_id=target-csv
2025-01-26T21:04:31.338712Z [info     ] 2025-01-26 18:04:31,338 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=dabea232-60e3-47f3-973c-d45e4d7c7f04 stdio=stderr string_id=target-csv
2025-01-26T21:04:31.341003Z [info     ] 2025-01-26 18:04:31,340 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=dabea232-60e3-47f3-973c-d45e4d7c7f04 stdio=stderr string_id=target-csv
2025-01-26T21:04:31.370412Z [info     ] 2025-01-26 18:04:31,370 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03220415115356445, "tags": {"stream": "public-categories", "pid": 29737, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=dabea232-60e3-47f3-973c-d45e4d7c7f04 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:31.370629Z [info     ] 2025-01-26 18:04:31,370 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 29737, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=dabea232-60e3-47f3-973c-d45e4d7c7f04 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:31.370733Z [info     ] 2025-01-26 18:04:31,370 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=dabea232-60e3-47f3-973c-d45e4d7c7f04 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:31.370842Z [info     ] 2025-01-26 18:04:31,370 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=dabea232-60e3-47f3-973c-d45e4d7c7f04 stdio=stderr string_id=tap-postgres
2025-01-26T21:04:31.371155Z [info     ] 2025-01-26 18:04:31,371 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=dabea232-60e3-47f3-973c-d45e4d7c7f04 stdio=stderr string_id=target-csv
