2025-01-27T18:24:34.078915Z [info     ] 2025-01-27 15:24:34,078 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.139562Z [info     ] 2025-01-27 15:24:34,139 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.139867Z [info     ] 2025-01-27 15:24:34,139 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.140286Z [info     ] 2025-01-27 15:24:34,140 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.140453Z [info     ] 2025-01-27 15:24:34,140 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.142357Z [info     ] 2025-01-27 15:24:34,142 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.177310Z [info     ] 2025-01-27 15:24:34,177 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03727221488952637, "tags": {"stream": "public-categories", "pid": 111094, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.177560Z [info     ] 2025-01-27 15:24:34,177 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 111094, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.177687Z [info     ] 2025-01-27 15:24:34,177 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.177841Z [info     ] 2025-01-27 15:24:34,177 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.178135Z [info     ] 2025-01-27 15:24:34,178 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.178255Z [info     ] 2025-01-27 15:24:34,178 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.179337Z [info     ] 2025-01-27 15:24:34,179 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.182146Z [info     ] 2025-01-27 15:24:34,182 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1151: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.182341Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.182479Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.182632Z [info     ] 2025-01-27 15:24:34,182 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1151: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.182746Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.182851Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.185722Z [info     ] 2025-01-27 15:24:34,185 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.007959604263305664, "tags": {"stream": "public-customer_customer_demo", "pid": 111094, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.185951Z [info     ] 2025-01-27 15:24:34,185 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 111094, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.186157Z [info     ] 2025-01-27 15:24:34,185 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.186267Z [info     ] 2025-01-27 15:24:34,185 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.186576Z [info     ] 2025-01-27 15:24:34,186 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.186696Z [info     ] 2025-01-27 15:24:34,186 | INFO     | target-csv.customer_demographics | Initializing target sink for stream 'customer_demographics'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.188017Z [info     ] 2025-01-27 15:24:34,187 | INFO     | target-csv.customer_demographics | Setting up customer_demographics cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.194300Z [info     ] 2025-01-27 15:24:34,193 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.007697582244873047, "tags": {"stream": "public-customer_demographics", "pid": 111094, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.194631Z [info     ] 2025-01-27 15:24:34,194 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 111094, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.194789Z [info     ] 2025-01-27 15:24:34,194 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.194881Z [info     ] 2025-01-27 15:24:34,194 | INFO     | tap-postgres.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.195462Z [info     ] 2025-01-27 15:24:34,195 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.195612Z [info     ] 2025-01-27 15:24:34,195 | INFO     | target-csv.customers | Initializing target sink for stream 'customers'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.200236Z [info     ] 2025-01-27 15:24:34,199 | INFO     | target-csv.customers | Setting up customers cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.212204Z [info     ] 2025-01-27 15:24:34,212 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.01694774627685547, "tags": {"stream": "public-customers", "pid": 111094, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.212422Z [info     ] 2025-01-27 15:24:34,212 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "public-customers", "pid": 111094, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.212567Z [info     ] 2025-01-27 15:24:34,212 | INFO     | tap-postgres.public-employee_territories | Beginning full_table sync of 'public-employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.212659Z [info     ] 2025-01-27 15:24:34,212 | INFO     | tap-postgres.public-employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
2025-01-27T18:24:34.213241Z [info     ] 2025-01-27 15:24:34,213 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.213421Z [info     ] 2025-01-27 15:24:34,213 | INFO     | target-csv.employee_territories | Initializing target sink for stream 'employee_territories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.214406Z [info     ] 2025-01-27 15:24:34,214 | INFO     | target-csv.employee_territories | Setting up employee_territories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=target-csv
2025-01-27T18:24:34.222273Z [info     ] 2025-01-27 15:24:34,222 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.009578704833984375, "tags": {"stream": "public-employee_territories", "pid": 111094, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=db0ddca7-de28-4922-9f5c-5a989e5c831c stdio=stderr string_id=tap-postgres
