2025-01-26T21:12:58.158806Z [info     ] 2025-01-26 18:12:58,158 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=target-csv
2025-01-26T21:12:58.185308Z [info     ] 2025-01-26 18:12:58,185 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.185629Z [info     ] 2025-01-26 18:12:58,185 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.186044Z [info     ] 2025-01-26 18:12:58,185 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=target-csv
2025-01-26T21:12:58.186211Z [info     ] 2025-01-26 18:12:58,186 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=target-csv
2025-01-26T21:12:58.188051Z [info     ] 2025-01-26 18:12:58,187 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=target-csv
2025-01-26T21:12:58.216078Z [info     ] 2025-01-26 18:12:58,215 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.030388593673706055, "tags": {"stream": "public-categories", "pid": 31501, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.216328Z [info     ] 2025-01-26 18:12:58,216 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 31501, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.216465Z [info     ] 2025-01-26 18:12:58,216 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.216589Z [info     ] 2025-01-26 18:12:58,216 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=tap-postgres
2025-01-26T21:12:58.216912Z [info     ] 2025-01-26 18:12:58,216 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e7041dd6-fb82-4f4b-99d9-f5d96206ae8c stdio=stderr string_id=target-csv
