2025-01-27T19:24:00.610111Z [info     ] 2025-01-27 16:24:00,609 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=target-csv
2025-01-27T19:24:00.625784Z [info     ] 2025-01-27 16:24:00,625 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=tap-postgres
2025-01-27T19:24:00.626126Z [info     ] 2025-01-27 16:24:00,625 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=tap-postgres
2025-01-27T19:24:00.626492Z [info     ] 2025-01-27 16:24:00,626 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=target-csv
2025-01-27T19:24:00.626711Z [info     ] 2025-01-27 16:24:00,626 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=target-csv
2025-01-27T19:24:00.628579Z [info     ] 2025-01-27 16:24:00,628 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=target-csv
2025-01-27T19:24:00.660139Z [info     ] 2025-01-27 16:24:00,659 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.033962249755859375, "tags": {"stream": "public-categories", "pid": 134074, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=tap-postgres
2025-01-27T19:24:00.660361Z [info     ] 2025-01-27 16:24:00,660 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 134074, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=tap-postgres
2025-01-27T19:24:00.660458Z [info     ] 2025-01-27 16:24:00,660 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=tap-postgres
2025-01-27T19:24:00.660556Z [info     ] 2025-01-27 16:24:00,660 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=tap-postgres
2025-01-27T19:24:00.660867Z [info     ] 2025-01-27 16:24:00,660 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=target-csv
2025-01-27T19:24:00.660992Z [info     ] 2025-01-27 16:24:00,660 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=target-csv
2025-01-27T19:24:00.662459Z [info     ] 2025-01-27 16:24:00,662 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=target-csv
2025-01-27T19:24:00.665007Z [info     ] 2025-01-27 16:24:00,664 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1151: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=tap-postgres
2025-01-27T19:24:00.665130Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=tap-postgres
2025-01-27T19:24:00.665247Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=tap-postgres
2025-01-27T19:24:00.665396Z [info     ] 2025-01-27 16:24:00,665 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1151: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e79bfd64-d543-4a98-ab98-869783f77452 stdio=stderr string_id=tap-postgres
