2025-01-27T19:04:02.861367Z [info     ] 2025-01-27 16:04:02,861 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e7e6ee58-bec5-46f5-b724-330ed14cacf1 stdio=stderr string_id=target-csv
2025-01-27T19:04:02.885684Z [info     ] 2025-01-27 16:04:02,885 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7e6ee58-bec5-46f5-b724-330ed14cacf1 stdio=stderr string_id=tap-postgres
2025-01-27T19:04:02.886012Z [info     ] 2025-01-27 16:04:02,885 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7e6ee58-bec5-46f5-b724-330ed14cacf1 stdio=stderr string_id=tap-postgres
2025-01-27T19:04:02.886453Z [info     ] 2025-01-27 16:04:02,886 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e7e6ee58-bec5-46f5-b724-330ed14cacf1 stdio=stderr string_id=target-csv
2025-01-27T19:04:02.886647Z [info     ] 2025-01-27 16:04:02,886 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e7e6ee58-bec5-46f5-b724-330ed14cacf1 stdio=stderr string_id=target-csv
2025-01-27T19:04:02.888907Z [info     ] 2025-01-27 16:04:02,888 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e7e6ee58-bec5-46f5-b724-330ed14cacf1 stdio=stderr string_id=target-csv
2025-01-27T19:04:02.920720Z [info     ] 2025-01-27 16:04:02,920 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03465557098388672, "tags": {"stream": "public-categories", "pid": 124297, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7e6ee58-bec5-46f5-b724-330ed14cacf1 stdio=stderr string_id=tap-postgres
2025-01-27T19:04:02.920955Z [info     ] 2025-01-27 16:04:02,920 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 124297, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7e6ee58-bec5-46f5-b724-330ed14cacf1 stdio=stderr string_id=tap-postgres
2025-01-27T19:04:02.921063Z [info     ] 2025-01-27 16:04:02,920 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7e6ee58-bec5-46f5-b724-330ed14cacf1 stdio=stderr string_id=tap-postgres
2025-01-27T19:04:02.921147Z [info     ] 2025-01-27 16:04:02,920 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=e7e6ee58-bec5-46f5-b724-330ed14cacf1 stdio=stderr string_id=tap-postgres
2025-01-27T19:04:02.921444Z [info     ] 2025-01-27 16:04:02,921 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=e7e6ee58-bec5-46f5-b724-330ed14cacf1 stdio=stderr string_id=target-csv
