2025-01-26T21:14:21.353920Z [info     ] 2025-01-26 18:14:21,353 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=target-csv
2025-01-26T21:14:21.440791Z [info     ] 2025-01-26 18:14:21,440 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.441063Z [info     ] 2025-01-26 18:14:21,440 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.441454Z [info     ] 2025-01-26 18:14:21,441 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=target-csv
2025-01-26T21:14:21.441636Z [info     ] 2025-01-26 18:14:21,441 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=target-csv
2025-01-26T21:14:21.443582Z [info     ] 2025-01-26 18:14:21,443 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=target-csv
2025-01-26T21:14:21.473218Z [info     ] 2025-01-26 18:14:21,473 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03203892707824707, "tags": {"stream": "public-categories", "pid": 31840, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.473436Z [info     ] 2025-01-26 18:14:21,473 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 31840, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.473531Z [info     ] 2025-01-26 18:14:21,473 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.473665Z [info     ] 2025-01-26 18:14:21,473 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.474043Z [info     ] 2025-01-26 18:14:21,473 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=target-csv
2025-01-26T21:14:21.474184Z [info     ] 2025-01-26 18:14:21,474 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=target-csv
2025-01-26T21:14:21.475414Z [info     ] 2025-01-26 18:14:21,475 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=target-csv
2025-01-26T21:14:21.478048Z [info     ] 2025-01-26 18:14:21,477 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.478205Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.478312Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.478493Z [info     ] 2025-01-26 18:14:21,478 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.478594Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.478675Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.481676Z [info     ] 2025-01-26 18:14:21,481 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.008048534393310547, "tags": {"stream": "public-customer_customer_demo", "pid": 31840, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.481825Z [info     ] 2025-01-26 18:14:21,481 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 31840, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.481953Z [info     ] 2025-01-26 18:14:21,481 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.482051Z [info     ] 2025-01-26 18:14:21,481 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.482341Z [info     ] 2025-01-26 18:14:21,482 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=target-csv
2025-01-26T21:14:21.482490Z [info     ] 2025-01-26 18:14:21,482 | INFO     | target-csv.customer_demographics | Initializing target sink for stream 'customer_demographics'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=target-csv
2025-01-26T21:14:21.483568Z [info     ] 2025-01-26 18:14:21,483 | INFO     | target-csv.customer_demographics | Setting up customer_demographics cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=target-csv
2025-01-26T21:14:21.489588Z [info     ] 2025-01-26 18:14:21,489 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0074198246002197266, "tags": {"stream": "public-customer_demographics", "pid": 31840, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.489855Z [info     ] 2025-01-26 18:14:21,489 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 31840, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.490047Z [info     ] 2025-01-26 18:14:21,489 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.490153Z [info     ] 2025-01-26 18:14:21,489 | INFO     | tap-postgres.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=tap-postgres
2025-01-26T21:14:21.490325Z [info     ] 2025-01-26 18:14:21,490 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=f3b04fe9-bf2a-4fff-bab9-dd1bf0cbdbc2 stdio=stderr string_id=target-csv
