2025-01-26T21:07:32.502962Z [info     ] 2025-01-26 18:07:32,502 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fa7b10a0-423d-4bc4-ba15-6c9d5113196c stdio=stderr string_id=target-csv
2025-01-26T21:07:32.592551Z [info     ] 2025-01-26 18:07:32,592 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fa7b10a0-423d-4bc4-ba15-6c9d5113196c stdio=stderr string_id=tap-postgres
2025-01-26T21:07:32.592913Z [info     ] 2025-01-26 18:07:32,592 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fa7b10a0-423d-4bc4-ba15-6c9d5113196c stdio=stderr string_id=tap-postgres
2025-01-26T21:07:32.593371Z [info     ] 2025-01-26 18:07:32,593 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fa7b10a0-423d-4bc4-ba15-6c9d5113196c stdio=stderr string_id=target-csv
2025-01-26T21:07:32.593578Z [info     ] 2025-01-26 18:07:32,593 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fa7b10a0-423d-4bc4-ba15-6c9d5113196c stdio=stderr string_id=target-csv
2025-01-26T21:07:32.595636Z [info     ] 2025-01-26 18:07:32,595 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fa7b10a0-423d-4bc4-ba15-6c9d5113196c stdio=stderr string_id=target-csv
2025-01-26T21:07:32.625080Z [info     ] 2025-01-26 18:07:32,624 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.03207135200500488, "tags": {"stream": "public-categories", "pid": 30467, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fa7b10a0-423d-4bc4-ba15-6c9d5113196c stdio=stderr string_id=tap-postgres
2025-01-26T21:07:32.625313Z [info     ] 2025-01-26 18:07:32,625 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 30467, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fa7b10a0-423d-4bc4-ba15-6c9d5113196c stdio=stderr string_id=tap-postgres
2025-01-26T21:07:32.625485Z [info     ] 2025-01-26 18:07:32,625 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fa7b10a0-423d-4bc4-ba15-6c9d5113196c stdio=stderr string_id=tap-postgres
2025-01-26T21:07:32.625606Z [info     ] 2025-01-26 18:07:32,625 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fa7b10a0-423d-4bc4-ba15-6c9d5113196c stdio=stderr string_id=tap-postgres
2025-01-26T21:07:32.625886Z [info     ] 2025-01-26 18:07:32,625 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fa7b10a0-423d-4bc4-ba15-6c9d5113196c stdio=stderr string_id=target-csv
2025-01-26T21:07:32.626041Z [info     ] 2025-01-26 18:07:32,625 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fa7b10a0-423d-4bc4-ba15-6c9d5113196c stdio=stderr string_id=target-csv
2025-01-26T21:07:32.627166Z [info     ] 2025-01-26 18:07:32,627 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fa7b10a0-423d-4bc4-ba15-6c9d5113196c stdio=stderr string_id=target-csv
