2025-01-27T00:00:21.316619Z [info     ] 2025-01-26 21:00:21,316 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=target-csv
2025-01-27T00:00:21.363221Z [info     ] 2025-01-26 21:00:21,363 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.363491Z [info     ] 2025-01-26 21:00:21,363 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.363881Z [info     ] 2025-01-26 21:00:21,363 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=target-csv
2025-01-27T00:00:21.364015Z [info     ] 2025-01-26 21:00:21,363 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=target-csv
2025-01-27T00:00:21.366892Z [info     ] 2025-01-26 21:00:21,366 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=target-csv
2025-01-27T00:00:21.408826Z [info     ] 2025-01-26 21:00:21,408 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.04487729072570801, "tags": {"stream": "public-categories", "pid": 65887, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.409336Z [info     ] 2025-01-26 21:00:21,408 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 65887, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.409582Z [info     ] 2025-01-26 21:00:21,409 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.409789Z [info     ] 2025-01-26 21:00:21,409 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.410342Z [info     ] 2025-01-26 21:00:21,410 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=target-csv
2025-01-27T00:00:21.410636Z [info     ] 2025-01-26 21:00:21,410 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=target-csv
2025-01-27T00:00:21.412245Z [info     ] 2025-01-26 21:00:21,412 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=target-csv
2025-01-27T00:00:21.417372Z [info     ] 2025-01-26 21:00:21,417 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.417686Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.417855Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.418081Z [info     ] 2025-01-26 21:00:21,417 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.418235Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.418367Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.421677Z [info     ] 2025-01-26 21:00:21,421 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.012256622314453125, "tags": {"stream": "public-customer_customer_demo", "pid": 65887, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.421850Z [info     ] 2025-01-26 21:00:21,421 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 65887, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.421979Z [info     ] 2025-01-26 21:00:21,421 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.422139Z [info     ] 2025-01-26 21:00:21,421 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=tap-postgres
2025-01-27T00:00:21.422478Z [info     ] 2025-01-26 21:00:21,422 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=fcb2cbcd-2238-4f25-9385-83d4949b5985 stdio=stderr string_id=target-csv
