2025-01-26T21:17:16.648729Z [info     ] 2025-01-26 18:17:16,648 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff08dc4f-3000-4a38-9920-121fd32138a9 stdio=stderr string_id=tap-postgres
2025-01-26T21:17:16.649289Z [info     ] 2025-01-26 18:17:16,648 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff08dc4f-3000-4a38-9920-121fd32138a9 stdio=stderr string_id=tap-postgres
2025-01-26T21:17:16.670906Z [info     ] 2025-01-26 18:17:16,670 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff08dc4f-3000-4a38-9920-121fd32138a9 stdio=stderr string_id=target-csv
2025-01-26T21:17:16.671251Z [info     ] 2025-01-26 18:17:16,670 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff08dc4f-3000-4a38-9920-121fd32138a9 stdio=stderr string_id=target-csv
2025-01-26T21:17:16.671395Z [info     ] 2025-01-26 18:17:16,670 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff08dc4f-3000-4a38-9920-121fd32138a9 stdio=stderr string_id=target-csv
2025-01-26T21:17:16.672977Z [info     ] 2025-01-26 18:17:16,672 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff08dc4f-3000-4a38-9920-121fd32138a9 stdio=stderr string_id=target-csv
2025-01-26T21:17:16.682219Z [info     ] 2025-01-26 18:17:16,682 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.033180952072143555, "tags": {"stream": "public-categories", "pid": 32270, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff08dc4f-3000-4a38-9920-121fd32138a9 stdio=stderr string_id=tap-postgres
2025-01-26T21:17:16.682458Z [info     ] 2025-01-26 18:17:16,682 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 32270, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff08dc4f-3000-4a38-9920-121fd32138a9 stdio=stderr string_id=tap-postgres
2025-01-26T21:17:16.682577Z [info     ] 2025-01-26 18:17:16,682 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff08dc4f-3000-4a38-9920-121fd32138a9 stdio=stderr string_id=tap-postgres
2025-01-26T21:17:16.682683Z [info     ] 2025-01-26 18:17:16,682 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff08dc4f-3000-4a38-9920-121fd32138a9 stdio=stderr string_id=tap-postgres
2025-01-26T21:17:16.682981Z [info     ] 2025-01-26 18:17:16,682 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff08dc4f-3000-4a38-9920-121fd32138a9 stdio=stderr string_id=target-csv
2025-01-26T21:17:16.683113Z [info     ] 2025-01-26 18:17:16,682 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff08dc4f-3000-4a38-9920-121fd32138a9 stdio=stderr string_id=target-csv
2025-01-26T21:17:16.684336Z [info     ] 2025-01-26 18:17:16,684 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff08dc4f-3000-4a38-9920-121fd32138a9 stdio=stderr string_id=target-csv
