2025-01-27T18:29:10.085918Z [info     ] 2025-01-27 15:29:10,085 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=target-csv
2025-01-27T18:29:10.118780Z [info     ] 2025-01-27 15:29:10,118 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=tap-postgres
2025-01-27T18:29:10.119078Z [info     ] 2025-01-27 15:29:10,118 | INFO     | tap-postgres.public-categories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=tap-postgres
2025-01-27T18:29:10.119529Z [info     ] 2025-01-27 15:29:10,119 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=target-csv
2025-01-27T18:29:10.119722Z [info     ] 2025-01-27 15:29:10,119 | INFO     | target-csv.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=target-csv
2025-01-27T18:29:10.121645Z [info     ] 2025-01-27 15:29:10,121 | INFO     | target-csv.categories | Setting up categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=target-csv
2025-01-27T18:29:10.154518Z [info     ] 2025-01-27 15:29:10,154 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0353543758392334, "tags": {"stream": "public-categories", "pid": 113996, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=tap-postgres
2025-01-27T18:29:10.154742Z [info     ] 2025-01-27 15:29:10,154 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 113996, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=tap-postgres
2025-01-27T18:29:10.154833Z [info     ] 2025-01-27 15:29:10,154 | INFO     | tap-postgres.public-customer_customer_demo | Beginning full_table sync of 'public-customer_customer_demo'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=tap-postgres
2025-01-27T18:29:10.154946Z [info     ] 2025-01-27 15:29:10,154 | INFO     | tap-postgres.public-customer_customer_demo | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=tap-postgres
2025-01-27T18:29:10.155207Z [info     ] 2025-01-27 15:29:10,155 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=target-csv
2025-01-27T18:29:10.155312Z [info     ] 2025-01-27 15:29:10,155 | INFO     | target-csv.customer_customer_demo | Initializing target sink for stream 'customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=target-csv
2025-01-27T18:29:10.156605Z [info     ] 2025-01-27 15:29:10,156 | INFO     | target-csv.customer_customer_demo | Setting up customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=target-csv
2025-01-27T18:29:10.160029Z [info     ] 2025-01-27 15:29:10,159 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1151: SAWarning: Did not recognize type 'bpchar' of column 'customer_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=tap-postgres
2025-01-27T18:29:10.160283Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=tap-postgres
2025-01-27T18:29:10.160395Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=tap-postgres
2025-01-27T18:29:10.160544Z [info     ] 2025-01-27 15:29:10,160 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1151: SAWarning: Did not recognize type 'bpchar' of column 'customer_type_id' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=tap-postgres
2025-01-27T18:29:10.160656Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=ff0ab543-0eb2-4aa8-9902-210c0afe3194 stdio=stderr string_id=tap-postgres
